Step,Time,X,Y,Z,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0,1.1357960521290562,2.432601759728831,11.0,10.786364835613076,-0.2249033753061471,-0.021232655406589567,0.0,0.0,0.0,110.0,0.0
1,0.01,1.1301122887858375,2.429832669892161,10.99313520387033,10.786597508389695,-0.22391269535071642,-0.02526791324749154,0.0,-20.0,-20.0,110.0,-9.38391425325675
2,0.02,1.1244278765087503,2.4270642277946393,10.986270528551568,10.786837650609597,-0.22107175928442196,-0.03915794262629994,0.0,-20.0,-20.0,110.0,-9.377028582915907
3,0.03,1.1187434579964868,2.424295792005211,10.979405854406934,10.7868698229899,-0.21928339375644798,-0.04851849477041996,0.0,-20.0,-20.0,110.0,-9.368489937853175
4,0.04,1.113058964571922,2.421527429695412,10.9725411939646,10.786828412957195,-0.2179289016455826,-0.055954433356186495,0.0,-20.0,-20.0,110.0,-9.360660363049965
5,0.05,1.107374460224074,2.418759076318366,10.965676535180464,10.786775959313376,-0.21657823083251296,-0.06344470292624735,0.0,-20.0,-20.0,110.0,-9.35303125113717
6,0.06,1.10168996857374,2.4159907066554718,10.958811873343938,10.78673467991699,-0.21511113766283294,-0.07151023623528614,0.0,-20.0,-20.0,110.0,-9.34541053074897
7,0.07,1.0960054962612877,2.4132223148422938,10.951947207364384,10.786710020749963,-0.21353504944550777,-0.0800793731790108,0.0,-20.0,-20.0,110.0,-9.337753552231597
8,0.08,1.0903210425349974,2.4104539020387543,10.945082537459921,10.786701583956113,-0.2118847019103203,-0.08896872143594325,0.0,-20.0,-20.0,110.0,-9.330065296471439
9,0.09,1.084636604161066,2.407685471425913,10.938217864223768,10.78670659446241,-0.21019005457480475,-0.09803166743150292,0.0,-20.0,-20.0,110.0,-9.32235785184097
10,0.1,1.0789521775082713,2.404917027159807,10.931353188433258,10.786721604844976,-0.208470699825573,-0.10717927642019434,0.0,-20.0,-20.0,110.0,-9.314641164749302
11,0.11,1.0732677593171802,2.4021485732190024,10.924488510833372,10.786743638422232,-0.20673773001437,-0.11636557436833059,0.0,-20.0,-20.0,110.0,-9.306921496326899
12,0.12,1.067583347135703,2.39938011258572,10.917623831982478,10.786770407799755,-0.20499703143884498,-0.12556881143752874,0.0,-20.0,-20.0,110.0,-9.299201953815547
13,0.13,1.0618989393064908,2.396611647887929,10.910759152374625,10.786800075128374,-0.20325169754474262,-0.13477924623293897,0.0,-20.0,-20.0,110.0,-9.291484029335006
14,0.14,1.0562145346325988,2.393843180805497,10.90389447232507,10.78683104440951,-0.20150336275074984,-0.14399284160685913,0.0,-20.0,-20.0,110.0,-9.283768334726465
15,0.15,1.050530132290292,2.3910747128371246,10.897029792116047,10.78686245933429,-0.19975298249448648,-0.15320800719734654,0.0,-20.0,-20.0,110.0,-9.276055144935226
16,0.16,1.044845731637552,2.388306244502963,10.890165111844087,10.786893906603702,-0.19800116542524623,-0.16242405875784682,0.0,-20.0,-20.0,110.0,-9.268344552581256
17,0.17,1.0391613322242048,2.385537776052968,10.88330043155501,10.78692517444349,-0.19624830893139292,-0.17164067009432038,0.0,-20.0,-20.0,110.0,-9.260636600383998
18,0.18,1.0334769337472096,2.382769307617401,10.876435751272425,10.786956155005138,-0.1944946717728873,-0.18085766819804916,0.0,-20.0,-20.0,110.0,-9.25293131213622
19,0.19,1.0277925359988274,2.3800008392544605,10.869571071006588,10.786986802431072,-0.19274042635466374,-0.19007494769780173,0.0,-20.0,-20.0,110.0,-9.245228702065464
20,0.2,1.022108138816408,2.3772323709566745,10.862706390755426,10.787017115279738,-0.19098570876996332,-0.19929242882428125,0.0,-20.0,-20.0,110.0,-9.237528777845615
21,0.21,1.0164237420284918,2.3744639026669727,10.855841710507377,10.787047135351063,-0.18923065565768404,-0.20851003997156803,0.0,-20.0,-20.0,110.0,-9.229831545602117
22,0.22,1.01073934551318,2.371695434336926,10.848977030252733,10.787076920078286,-0.18747540001823151,-0.2177277218109111,0.0,-20.0,-20.0,110.0,-9.222137013954793
23,0.23,1.005054949140097,2.368926965905046,10.842112349979256,10.787106495979145,-0.18572002184982733,-0.22694544104100126,0.0,-20.0,-20.0,110.0,-9.214445197229184
24,0.24,0.999370552856081,2.3661584973657273,10.83524766968567,10.787135868299835,-0.18396456620756982,-0.2361631802628933,0.0,-20.0,-20.0,110.0,-9.20675610459021
25,0.25,0.9936861566305536,2.3633900287271548,10.828382989373404,10.787165031520399,-0.18220905855972194,-0.24538093035011338,0.0,-20.0,-20.0,110.0,-9.199069743759175
26,0.26,0.9880017604460566,2.360621560003494,10.821518309045093,10.787193975397361,-0.18045351334505078,-0.2545986864176736,0.0,-20.0,-20.0,110.0,-9.191386121670924
27,0.27,0.9823173642924874,2.35785309121041,10.81465362870368,10.787222688422672,-0.1786979389214759,-0.2638164457510005,0.0,-20.0,-20.0,110.0,-9.18370524484354
28,0.28,0.9766329681636592,2.3550846223626087,10.80778894835194,10.787251159732424,-0.17694234042393367,-0.2730342067619564,0.0,-20.0,-20.0,110.0,-9.176027119584782
29,0.29,0.9709485720553485,2.352316153472659,10.800924267992254,10.787279380024046,-0.17518672135434651,-0.28225196846578376,0.0,-20.0,-20.0,110.0,-9.168351752106805
30,0.3,0.9652641759642808,2.3495476845506333,10.794059587626526,10.787307341832703,-0.17343108440483854,-0.2914697302166425,0.0,-20.0,-20.0,110.0,-9.160679148588741
31,0.31,0.9595797798876697,2.3467792156042546,10.787194907256215,10.787335039427488,-0.1716754318378214,-0.30068749157081115,0.0,-20.0,-20.0,110.0,-9.153009315209179
32,0.32,0.9538953838230504,2.344010746639283,10.780330226882409,10.787362468525847,-0.16991976563177455,-0.3099052522134041,0.0,-20.0,-20.0,110.0,-9.145342258161268
33,0.33,0.9482109877682453,2.3412422776599686,10.773465546505912,10.787389625962318,-0.16816408752106662,-0.31912301191706566,0.0,-20.0,-20.0,110.0,-9.137677983658179
34,0.34,0.9425265917213705,2.338473808669456,10.766600866127312,10.787416509389056,-0.16640839900140622,-0.3283407705169785,0.0,-20.0,-20.0,110.0,-9.130016497933784
35,0.35000000000000003,0.9368421956808379,2.3357053396701075,10.759736185747055,10.78744311703972,-0.16465270133458246,-0.33755852789442653,0.0,-20.0,-20.0,110.0,-9.122357807241508
