Step,Time,X,Y,Z,Vx,Vy,Vz,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0.01,499.97,3.673940397442059e-18,499.999919,-3.0,3.6739403974420594e-16,-0.016199999999999815,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,-0.0,7500000.0,0.07282408021986433
1,0.02,499.94000000000005,7.347880794884118e-18,499.99967599999997,-3.0,3.6739403974420594e-16,-0.03239999999999982,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07282285337032143
2,0.03,499.9100000000001,1.1021821192326178e-17,499.99927099999996,-3.0,3.6739403974420594e-16,-0.04859999999999982,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07282075233987255
3,0.04,499.8800000000001,1.4695761589768237e-17,499.998704,-3.0,3.6739403974420594e-16,-0.06479999999999982,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07281777731986253
4,0.05,499.85000000000014,1.8369701987210297e-17,499.997975,-3.0,3.6739403974420594e-16,-0.08099999999999982,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07281392857800781
5,0.06,499.82000000000016,2.2043642384652358e-17,499.997084,-3.0,3.6739403974420594e-16,-0.09719999999999983,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07280920645827968
6,0.07,499.7900000000002,2.571758278209442e-17,499.99603099999996,-3.0,3.6739403974420594e-16,-0.11339999999999983,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07280361138075414
7,0.08,499.7600000000002,2.939152317953648e-17,499.99481599999996,-3.0,3.6739403974420594e-16,-0.12959999999999983,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07279714384142878
8,0.09,499.73000000000025,3.306546357697854e-17,499.99343899999997,-3.0,3.6739403974420594e-16,-0.14579999999999982,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07278980441200682
9,0.1,499.7000000000003,3.6739403974420595e-17,499.9919,-3.0,3.6739403974420594e-16,-0.1619999999999998,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07278159373964847
10,0.11,499.6700000000003,4.041334437186265e-17,499.99019899999996,-3.0,3.6739403974420594e-16,-0.1781999999999998,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07277251254669001
11,0.12,499.6400000000003,4.408728476930471e-17,499.98833599999995,-3.0,3.6739403974420594e-16,-0.1943999999999998,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07276256163033067
12,0.13,499.61000000000035,4.776122516674677e-17,499.98631099999994,-3.0,3.6739403974420594e-16,-0.2105999999999998,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.0727517418622877
13,0.14,499.5800000000004,5.1435165564188826e-17,499.98412399999995,-3.0,3.6739403974420594e-16,-0.22679999999999978,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07274005418842014
14,0.15,499.5500000000004,5.5109105961630883e-17,499.98177499999997,-3.0,3.6739403974420594e-16,-0.24299999999999977,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07272749962832148
15,0.16,499.52000000000044,5.878304635907295e-17,499.97926399999994,-3.0,3.6739403974420594e-16,-0.25919999999999976,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07271407927488152
16,0.17,499.49000000000046,6.245698675651501e-17,499.9765909999999,-3.0,3.6739403974420594e-16,-0.27539999999999976,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07269979429381825
17,0.18,499.4600000000005,6.613092715395707e-17,499.9737559999999,-3.0,3.6739403974420594e-16,-0.29159999999999975,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07268464592317979
18,0.19,499.4300000000005,6.980486755139914e-17,499.97075899999993,-3.0,3.6739403974420594e-16,-0.30779999999999974,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.0726686354728172
19,0.2,499.40000000000055,7.34788079488412e-17,499.96759999999995,-3.0,3.6739403974420594e-16,-0.32399999999999973,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07265176432382839
20,0.21,499.3700000000006,7.715274834628327e-17,499.9642789999999,-3.0,3.6739403974420594e-16,-0.3401999999999997,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07263403392797411
21,0.22,499.3400000000006,8.082668874372533e-17,499.9607959999999,-3.0,3.6739403974420594e-16,-0.3563999999999997,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07261544580706591
22,0.23,499.3100000000006,8.450062914116739e-17,499.9571509999999,-3.0,3.6739403974420594e-16,-0.3725999999999997,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07259600155232747
23,0.24,499.28000000000065,8.817456953860946e-17,499.9533439999999,-3.0,3.6739403974420594e-16,-0.3887999999999997,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07257570282372913
24,0.25,499.2500000000007,9.184850993605152e-17,499.9493749999999,-3.0,3.6739403974420594e-16,-0.4049999999999997,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07255455134929704
25,0.26,499.2200000000007,9.552245033349359e-17,499.94524399999995,-3.0,3.6739403974420594e-16,-0.4211999999999997,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07253254892439683
26,0.27,499.19000000000074,9.919639073093565e-17,499.9409509999999,-3.0,3.6739403974420594e-16,-0.4373999999999997,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07250969741099292
27,0.28,499.16000000000076,1.0287033112837771e-16,499.9364959999999,-3.0,3.6739403974420594e-16,-0.45359999999999967,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07248599873688427
28,0.29,499.1300000000008,1.0654427152581978e-16,499.9318789999999,-3.0,3.6739403974420594e-16,-0.46979999999999966,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07246145489491686
29,0.3,499.1000000000008,1.1021821192326184e-16,499.92709999999994,-3.0,3.6739403974420594e-16,-0.48599999999999965,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07243606794217382
30,0.31,499.07000000000085,1.138921523207039e-16,499.92215899999997,-3.0,3.6739403974420594e-16,-0.5021999999999996,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07240983999914434
31,0.32,499.0400000000009,1.1756609271814594e-16,499.91705599999995,-3.0,3.6739403974420594e-16,-0.5183999999999996,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07238277324887131
32,0.33,499.0100000000009,1.21240033115588e-16,499.91179099999994,-3.0,3.6739403974420594e-16,-0.5345999999999996,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07235486993607924
33,0.34,498.9800000000009,1.2491397351303005e-16,499.90636399999994,-3.0,3.6739403974420594e-16,-0.5507999999999996,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07232613236628278
34,0.35000000000000003,498.95000000000095,1.285879139104721e-16,499.90077499999995,-3.0,3.6739403974420594e-16,-0.5669999999999996,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07229656290487682
35,0.36,498.920000000001,1.3226185430791415e-16,499.895024,-3.0,3.6739403974420594e-16,-0.5831999999999996,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.0722661639762089
36,0.37,498.890000000001,1.359357947053562e-16,499.88911099999996,-3.0,3.6739403974420594e-16,-0.5993999999999996,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07223493806263469
37,0.38,498.86000000000104,1.3960973510279825e-16,499.88303599999995,-3.0,3.6739403974420594e-16,-0.6155999999999996,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07220288770355762
38,0.39,498.83000000000106,1.432836755002403e-16,499.87679899999995,-3.0,3.6739403974420594e-16,-0.6317999999999996,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07217001549445304
39,0.4,498.8000000000011,1.4695761589768236e-16,499.87039999999996,-3.0,3.6739403974420594e-16,-0.6479999999999996,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07213632408587811
40,0.41000000000000003,498.7700000000011,1.506315562951244e-16,499.863839,-3.0,3.6739403974420594e-16,-0.6641999999999996,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07210181618246818
41,0.42,498.74000000000115,1.5430549669256646e-16,499.85711599999996,-3.0,3.6739403974420594e-16,-0.6803999999999996,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07206649454192016
42,0.43,498.7100000000012,1.579794370900085e-16,499.85023099999995,-3.0,3.6739403974420594e-16,-0.6965999999999996,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07203036197396431
43,0.44,498.6800000000012,1.6165337748745056e-16,499.84318399999995,-3.0,3.6739403974420594e-16,-0.7127999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07199342133932474
44,0.45,498.6500000000012,1.6532731788489261e-16,499.83597499999996,-3.0,3.6739403974420594e-16,-0.7289999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07195567554866956
45,0.46,498.62000000000126,1.6900125828233466e-16,499.828604,-3.0,3.6739403974420594e-16,-0.7451999999999995,0.0,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07191712756155194
46,0.47000000000000003,498.5900000000013,1.7267519867977672e-16,499.82107099999996,-3.0,3.6739403974420594e-16,-0.7613999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.07187778038534212
47,0.48,498.5600000000013,1.7634913907721877e-16,499.81337599999995,-3.0,3.6739403974420594e-16,-0.7775999999999995,-3.1805546814635168e-15,90.0,180.0,0.0,0.0,0.0,7500000.0,0.071837637074152
