Step,Time,X,Y,Z,Vx,Vy,Vz,Roll,Pitch,Yaw,Thrust,GimbalYaw,GimbalPitch,Mass,Reward
0,0.01,499.9699595000108,3.678900238097267e-18,499.999919,-3.0080999978400005,3.683860190955231e-16,-0.016199999999999812,-3.1805546814635168e-15,90.0,180.0,6075000.0,0.0,0.0,7499975.229357798,0.06024308153346968
1,0.02,499.93983800017696,7.36772122929758e-18,499.99967599999997,-3.016199968927715,3.6937822600530696e-16,-0.03239999999999981,0.0,90.0,180.0,6074979.9357798165,0.0,0.0,7499950.458797408,0.06016090481864739
2,0.03,499.909635500766,1.1066465715494389e-17,499.99927099999996,-3.024299913263231,3.703707346781441e-16,-0.04859999999999981,0.0,90.0,180.0,6074959.871625901,0.0,0.0,7499925.688318828,0.060077868428024025
3,0.04,499.87935200204544,1.4775136703047487e-17,499.998704,-3.032399830846637,3.7136351094076627e-16,-0.0647999999999998,-3.1805546814635168e-15,90.0,180.0,6074939.807538251,0.0,0.0,7499900.917922059,0.05999397944095195
4,0.05,499.84898750428283,1.849373644397509e-17,499.997975,-3.040499721678022,3.7235646239457815e-16,-0.0809999999999998,-3.1805546814635168e-15,90.0,180.0,6074919.743516868,0.0,0.0,7499876.147607101,0.05990924493077815
5,0.06,499.81854200774563,2.2222266871293558e-17,499.997084,-3.048599585757474,3.7334964432565725e-16,-0.09719999999999979,0.0,90.0,180.0,6074899.679561752,0.0,0.0,7499851.377373952,0.05982367196295632
6,0.07,499.7880155127014,2.5960730579351665e-17,499.99603099999996,-3.0566994230850812,3.743431877938744e-16,-0.11339999999999978,0.0,90.0,180.0,6074879.615672902,0.0,0.0,7499826.607222615,0.05973726759321004
7,0.08,499.75740801941765,2.970913262343815e-17,499.99481599999996,-3.064799233660932,3.75337350986048e-16,-0.12959999999999977,0.0,90.0,180.0,6074859.551850318,0.0,0.0,7499801.837153086,0.05965003886574666
8,0.09,499.72671952816194,3.346748031324658e-17,499.99343899999997,-3.072899017485115,3.763323719162539e-16,-0.14579999999999976,-3.1805546814635168e-15,90.0,180.0,6074839.488094,0.0,0.0,7499777.067165367,0.059561992811522
9,0.1,499.6959500392017,3.723578306143722e-17,499.9919,-3.0809987745577185,3.773283552593212e-16,-0.16199999999999976,-3.1805546814635168e-15,90.0,180.0,6074819.424403948,0.0,0.0,7499752.297259457,0.05947313644655591
10,0.11,499.6650995528045,4.101405141666163e-17,499.99019899999996,-3.0890985048788306,3.7832552493636954e-16,-0.17819999999999975,-3.1805546814635168e-15,90.0,180.0,6074799.360780161,0.0,0.0,7499727.527435357,0.059383476770298274
11,0.12,499.6341680692379,4.480229830403309e-17,499.98833599999995,-3.09719820844854,3.7932409704590905e-16,-0.19439999999999974,0.0,90.0,180.0,6074779.297222639,0.0,0.0,7499702.7576930635,0.059293020764045246
12,0.13,499.6031555887693,4.860053812535412e-17,499.98631099999994,-3.1052978852669346,3.8032411789026796e-16,-0.21059999999999976,-3.1805546814635168e-15,90.0,180.0,6074759.233731382,0.0,0.0,7499677.988032579,0.059201775389405624
13,0.14,499.5720621116663,5.240878548773519e-17,499.98412399999995,-3.1133975353341032,3.813255896618989e-16,-0.22679999999999975,0.0,90.0,180.0,6074739.17030639,0.0,0.0,7499653.218453904,0.059109747586816815
14,0.15,499.54088763819635,5.622705410613093e-17,499.98177499999997,-3.121497158650134,3.8232838193552766e-16,-0.24299999999999974,0.0,90.0,180.0,6074719.106947662,0.0,0.0,7499628.448957035,0.059016944274110236
15,0.16,499.50963216862704,6.005535794699247e-17,499.97926399999994,-3.129596755215115,3.833326774482971e-16,-0.25919999999999976,-3.1805546814635168e-15,90.0,180.0,6074699.043655199,0.0,0.0,7499603.679541974,0.05892337234512553
16,0.17,499.4782957032258,6.389371245007871e-17,499.9765909999999,-3.137696325029135,3.843384696402966e-16,-0.2753999999999998,0.0,90.0,180.0,6074678.980428999,0.0,0.0,7499578.910208721,0.05882903866837322
17,0.18,499.4468782422602,6.774213139255772e-17,499.9737559999999,-3.1457958680922826,3.8534542536529326e-16,-0.29159999999999986,0.0,90.0,180.0,6074658.917269064,0.0,0.0,7499554.140957274,0.058733950085745286
18,0.19,499.4153797859977,7.160062171035045e-17,499.97075899999993,-3.1538953844046453,3.863526464991864e-16,-0.3077999999999999,0.0,90.0,180.0,6074638.854175392,0.0,0.0,7499529.371787634,0.0586381134112733
19,0.2,499.3838003347058,7.546918479215762e-17,499.96759999999995,-3.161994873966312,3.873600179266166e-16,-0.32399999999999995,0.0,90.0,180.0,6074618.791147984,0.0,0.0,7499504.602699801,0.05854153542993309
20,0.21,499.3521398886521,7.934782520026242e-17,499.9642789999999,-3.170094336777371,3.883682710303963e-16,-0.3402,-3.1805546814635168e-15,90.0,180.0,6074598.728186839,0.0,0.0,7499479.8336937735,0.0584442228964961
21,0.22,499.320398448104,8.323655454463881e-17,499.9607959999999,-3.178193772837911,3.893778437977519e-16,-0.3564,-3.1805546814635168e-15,90.0,180.0,6074578.665291957,0.0,0.0,7499455.064769552,0.05834618253442575
