time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/std,train/entropy_loss
3776,0,1,2048,,,,,,,,,,,
2680,1,2,4096,0.0765625,0.0075893076,-0.009365470480406656,-0.027396466583013535,10,0.0003,0.272935659383802,0.2,0.24242079257965088,1.0056709051132202,-4.263388469815254
2460,2,3,6144,0.05146484375,0.0053886436,-0.003676322154933587,0.0009867059998214245,20,0.0003,0.003201624098301181,0.2,0.8931623697280884,1.0048099756240845,-4.272695709764958
2391,3,4,8192,0.050390625,0.0066221696,-0.00444350280740764,0.0028616762720048428,30,0.0003,0.0049843006167748175,0.2,0.8169547319412231,1.0056320428848267,-4.272607454657555
2359,4,5,10240,0.076416015625,0.0073516634,-0.006327519143815153,-0.02988460659980774,40,0.0003,0.00081442176492601,0.2,0.9770804047584534,1.0226926803588867,-4.304063782095909
2312,5,6,12288,0.090576171875,0.00826126,-0.009952309922664427,-0.02574787475168705,50,0.0003,0.0005415145473193661,0.2,0.9757301807403564,1.0355015993118286,-4.342709012329578
2287,6,7,14336,0.091552734375,0.008402575,-0.007094111613696441,-0.015503269620239735,60,0.0003,0.0006699812567262598,0.2,0.9857511520385742,1.0407801866531372,-4.370584785938263
2261,7,8,16384,0.058154296875,0.0063062133,-0.0038321594533044846,-0.013674985617399216,70,0.0003,0.00542003128732631,0.2,0.8525568842887878,1.03956139087677,-4.374410933256149
2254,8,9,18432,0.0236328125,0.004958159,-0.0013921589197707362,0.0082439249381423,80,0.0003,0.005149158132599041,0.2,0.898848831653595,1.0487629175186157,-4.387477260828018
2252,9,10,20480,0.025634765625,0.0053598005,-0.002741573238745332,-0.0008275692816823721,90,0.0003,0.019833954580462887,0.2,0.9428238868713379,1.051076054573059,-4.405195899307728
2242,10,11,22528,0.077734375,0.008914409,-0.004522027669008821,-0.001460597151890397,100,0.0003,0.001248864306262476,0.2,0.9590439200401306,1.0587354898452759,-4.417473526299
2237,10,12,24576,0.045458984375,0.0051198835,-0.0036965896841138603,0.01842547580599785,110,0.0003,0.0008285347371611351,0.2,0.9644926190376282,1.0604815483093262,-4.430222009122372
2220,11,13,26624,0.0640625,0.0064860024,-0.004783343939925544,-0.02029413916170597,120,0.0003,0.0011454808160465291,0.2,0.9654625058174133,1.0668319463729858,-4.442514368891716
2220,12,14,28672,0.061328125,0.0059322743,-0.0049557284655747935,-0.01685713231563568,130,0.0003,0.002686678424720412,0.2,0.946811854839325,1.0745819807052612,-4.463395689427853
2219,13,15,30720,0.01923828125,0.0036924924,-0.0022659678623313086,0.011704406701028347,140,0.0003,0.0006903916056216986,0.2,0.9839300513267517,1.068037509918213,-4.461791267991066
2215,14,16,32768,0.045361328125,0.0049698832,-0.004196926672011614,-0.012769709341228008,150,0.0003,0.0032966827121981624,0.2,0.899276852607727,1.0674586296081543,-4.454364159703255
2202,15,17,34816,0.052685546875,0.0054773255,-0.007305248270131415,-0.0137077197432518,160,0.0003,0.03225101092539262,0.2,0.5219597816467285,1.0717716217041016,-4.4601545050740246
2195,16,18,36864,0.049853515625,0.00619449,-0.0043420281450380575,-0.017554113641381264,170,0.0003,0.0006804785035114946,0.2,0.9793946743011475,1.070183277130127,-4.4613782748579975
2192,17,19,38912,0.0400390625,0.004803215,-0.003829927332117222,-0.030366674065589905,180,0.0003,0.002408795897508753,0.2,0.9111571907997131,1.069358229637146,-4.45745924115181
2186,18,20,40960,0.039013671875,0.0057606795,-0.005713238101452589,-0.022374631837010384,190,0.0003,0.0005193441739379523,0.2,0.9239708185195923,1.0589406490325928,-4.441517707705498
2182,19,21,43008,0.028515625,0.004659366,-0.0023039533087285237,0.0016161850653588772,200,0.0003,0.003790295282715306,0.2,0.8426766395568848,1.058167576789856,-4.4274499118328094
2169,20,22,45056,0.056005859375,0.0073039667,-0.005397552918293513,-0.02037237584590912,210,0.0003,0.0007586111432942744,0.2,0.98504638671875,1.047757625579834,-4.410906665027142
2169,21,23,47104,0.038525390625,0.005166387,-0.0037139107182156293,-0.014044268988072872,220,0.0003,0.007674748254430597,0.2,0.7568228244781494,1.0526132583618164,-4.404690246284008
2170,22,24,49152,0.0537109375,0.0073364247,-0.0025074678836972454,-0.0248137004673481,230,0.0003,0.002820193509683122,0.2,0.9249521493911743,1.048013687133789,-4.404954633116722
