time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/clip_fraction,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/std,train/learning_rate,train/value_loss
1,3394,0,2048,,,,,,,,,,,
2,2537,1,4096,0.2,0.072509765625,-0.011011343449354172,10,-0.010520048440957908,0.0068162805,0.29504144191741943,-4.26157629340887,1.0031185150146484,0.0003,0.3754449062456843
3,2356,2,6144,0.2,0.03994140625,0.004281830042600632,20,-0.007461435679579154,0.005619094,0.49742281436920166,-4.265678508579731,1.0020408630371094,0.0003,0.07697514157916885
4,2287,3,8192,0.2,0.048095703125,0.01150764711201191,30,-0.0075452101227710955,0.0063304827,0.8116011619567871,-4.262250405550003,1.0029195547103882,0.0003,0.03715104545117356
5,2191,4,10240,0.2,0.06669921875,-0.0004314091056585312,40,-0.009209043309965637,0.008333228,0.7268649339675903,-4.250591742992401,0.9919889569282532,0.0003,0.02566926296276506
6,2172,5,12288,0.2,0.086328125,-0.003144721733406186,50,-0.009292921125597787,0.0076855174,0.9152655005455017,-4.244520886242389,0.9984300136566162,0.0003,0.012004221270763083
7,2146,6,14336,0.2,0.053466796875,0.0014012441970407963,60,-0.008254293358913856,0.007073515,0.5377999544143677,-4.235136538743973,0.9888121485710144,0.0003,0.01969550093635917
8,2130,7,16384,0.2,0.074267578125,-0.04343637824058533,70,-0.01328335989092011,0.008500625,0.8170505166053772,-4.217509695887566,0.9850425720214844,0.0003,0.022860803185903934
9,2106,8,18432,0.2,0.04755859375,-0.0016856862930580974,80,-0.008901008991233538,0.005933543,0.9644297361373901,-4.206532865762711,0.9827509522438049,0.0003,0.005628170474301442
10,2102,9,20480,0.2,0.069677734375,-0.01565314084291458,90,-0.010095155243470799,0.0074663116,0.9374475479125977,-4.182592067122459,0.9700539112091064,0.0003,0.006934910461131949
11,2095,10,22528,0.2,0.06015625,-0.012898649089038372,100,-0.009415143929072656,0.006660945,0.8125649094581604,-4.171017853915691,0.9742587208747864,0.0003,0.014508501328236889
12,2093,11,24576,0.2,0.03955078125,-0.009030569344758987,110,-0.010892683442216366,0.004706057,0.7122526168823242,-4.19531878978014,0.9843071103096008,0.0003,0.005606380980134417
13,2089,12,26624,0.2,0.08486328125,-0.0020266352221369743,120,-0.012979459480266086,0.009424372,0.8748482465744019,-4.20688634365797,0.9817590117454529,0.0003,0.030680105825013015
