time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/loss
3499,0,2048,1,,,,,,,,,,,
2556,1,4096,2,10,0.2,0.3273180847754702,-4.265580932796001,0.0771484375,0.009228669,1.005997657775879,-0.010158388222043869,0.0003,0.37197768688201904,0.010959921404719353
2340,2,6144,3,20,0.2,0.03736583928402979,-4.277684810757637,0.048828125,0.0060487418,1.0067576169967651,-0.007684724773571361,0.0003,0.5974842309951782,-0.009291972033679485
2283,3,8192,4,30,0.2,0.024910003739933018,-4.284488472342491,0.067041015625,0.007337707,1.010319709777832,-0.008929994722711854,0.0003,0.8006582856178284,-0.025111455470323563
2248,4,10240,5,40,0.2,0.011736133553858963,-4.283226668834686,0.07099609375,0.008402759,1.0086923837661743,-0.010728812179877423,0.0003,0.9344850182533264,-0.04096997529268265
2186,5,12288,6,50,0.2,0.03183587987005012,-4.290974383056164,0.065380859375,0.007692395,1.0137243270874023,-0.01067453923606081,0.0003,0.27342236042022705,-0.004167713224887848
2169,6,14336,7,60,0.2,0.004678988964406017,-4.295488080382347,0.06455078125,0.0071923663,1.0132323503494263,-0.007425773945578839,0.0003,0.9519557952880859,-0.019812772050499916
2140,7,16384,8,70,0.2,0.00769256619605585,-4.322656936943531,0.067919921875,0.007989552,1.029367446899414,-0.01013176175620174,0.0003,0.9444136619567871,0.012122433632612228
2104,8,18432,9,80,0.2,0.004240243108688447,-4.346083886921406,0.089404296875,0.010229005,1.03269624710083,-0.010982734823483043,0.0003,0.8802003860473633,-0.017742624506354332
2084,9,20480,10,90,0.2,0.0032633840502967358,-4.339810791611671,0.04365234375,0.006220883,1.0256441831588745,-0.006235975123126991,0.0003,0.9282045960426331,-0.02034243382513523
