#{"t_start": 1764741947.369764, "env_id": "None"}
r,l,t,success
7.363972,334,0.801208,False
5.231529,309,0.98756,False
3.620499,308,1.151731,False
2.712645,369,1.372424,False
18.517585,288,1.554733,False
9.406474,289,1.705471,False
8.635812,345,4.025407,False
4.729561,296,4.186513,False
4.277884,279,4.366811,False
8.160358,259,4.549973,False
4.304416,307,4.732307,False
5.784875,342,4.918568,False
7.377721,271,5.052572,False
10.236686,285,7.338076,False
14.928719,264,7.473996,False
4.65213,290,7.639859,False
13.740593,294,7.797201,False
10.394874,266,7.952985,False
7.292993,272,8.128082,False
10.66623,376,8.389473,False
6.926024,272,10.51517,False
5.719963,275,10.664359,False
8.342479,308,10.867007,False
7.861876,299,11.084615,False
5.409872,286,11.321417,False
8.466864,344,11.508462,False
8.037714,296,11.662446,False
15.33663,291,14.03005,False
20.443213,358,14.262318,False
9.902763,297,14.467519,False
7.226799,280,14.625364,False
12.411495,298,14.776571,False
9.469328,284,14.911256,False
10.450143,285,15.061954,False
21.799443,264,17.315829,False
9.624407,308,17.476047,False
36.864122,286,17.668789,False
17.95171,356,17.887672,False
19.653073,321,18.072341,False
10.10871,309,18.320541,False
9.11744,315,20.640882,False
11.508333,326,20.854693,False
19.325393,337,21.057205,False
14.934459,319,21.263608,False
10.942143,319,21.46963,False
14.473446,305,21.669422,False
14.795088,299,21.874693,False
19.695077,305,24.187964,False
14.514778,307,24.380148,False
13.523608,317,24.552091,False
19.844248,309,24.722876,False
12.883362,322,24.905328,False
15.967975,315,25.07825,False
15.562839,314,27.418701,False
12.325572,296,27.582694,False
14.944964,326,27.78547,False
15.507005,315,27.975958,False
16.761054,325,28.197716,False
18.509177,326,28.420543,False
15.505995,305,28.591149,False
14.995385,309,30.797263,False
13.915499,299,30.975586,False
16.388499,311,31.20118,False
22.966398,310,31.385988,False
18.50222,300,31.574182,False
16.274718,312,31.799304,False
17.016552,320,34.071322,False
25.148403,316,34.309699,False
18.433135,320,34.522477,False
19.061968,320,34.718379,False
17.676033,319,34.893258,False
19.700968,320,35.119314,False
18.685104,323,35.339074,False
17.727242,316,37.605086,False
21.461386,315,37.824912,False
19.28708,322,38.010701,False
20.216331,325,38.18528,False
18.865017,320,38.338729,False
21.865194,321,38.506029,False
19.181026,325,40.809897,False
19.9159,325,41.010034,False
20.435826,326,41.282114,False
21.058579,327,41.54764,False
20.771643,326,41.731459,False
21.507572,328,41.894012,False
20.840905,329,44.150356,False
21.429321,329,44.323934,False
21.3711,328,44.498017,False
21.5519,329,44.66817,False
20.795506,327,44.843509,False
20.501462,325,45.025281,False
20.941536,327,45.197593,False
21.582872,328,47.533431,False
21.582748,329,47.785159,False
21.745164,329,47.978662,False
21.422698,329,48.214223,False
21.475192,329,48.386569,False
21.369088,328,48.566419,False
21.812967,329,50.798689,False
21.678421,329,50.987056,False
22.004653,330,51.156701,False
21.859193,329,51.325201,False
21.906945,329,51.576983,False
21.682222,329,51.767852,False
22.082913,330,54.069376,False
22.482692,331,54.283451,False
22.296972,331,54.52182,False
22.122844,331,54.717272,False
22.412724,331,54.910978,False
21.88371,330,55.074688,False
22.33621,331,57.308665,False
22.583055,332,57.541403,False
22.487161,331,57.748864,False
22.574701,332,58.040615,False
22.452745,330,58.25806,False
22.364146,331,58.442857,False
