#{"t_start": 1764789685.2356758, "env_id": "None"}
r,l,t,success,semi_success
-29.648107,330,1.266507,False,False
-42.695018,249,1.48352,False,False
-37.460088,270,1.716902,False,False
-34.98268,332,1.976118,False,False
-40.288454,257,2.182018,False,False
-33.638052,296,2.415352,False,False
-38.572776,272,2.638666,False,False
-39.69556,262,5.447288,False,False
-37.361243,274,5.656081,False,False
-36.280717,277,5.863963,False,False
-30.813367,293,6.084017,False,False
-37.887891,314,6.334521,False,False
-33.812926,266,6.641093,False,False
-40.09023,275,6.880539,False,False
-38.955293,256,9.921365,False,False
-31.575545,282,10.22295,False,False
-34.422071,255,10.51045,False,False
-36.928199,312,10.837551,False,False
-31.757713,307,11.125284,False,False
-37.680801,272,11.3562,False,False
-37.382994,260,11.574805,False,False
-39.125181,255,14.437136,False,False
-32.833557,320,14.673526,False,False
-37.651042,252,14.854208,False,False
-37.690148,266,15.090552,False,False
-25.277503,287,15.369537,False,False
-36.351808,287,15.773923,False,False
-36.09925,318,16.156101,False,False
-30.79276,354,19.058715,False,False
-39.505973,254,19.258138,False,False
-38.091395,253,19.459675,False,False
-38.729364,258,19.6822,False,False
-37.677403,285,20.06947,False,False
-32.68036,306,20.458326,False,False
-36.928463,279,20.707549,False,False
-37.949744,303,20.995509,False,False
-33.899083,281,23.81176,False,False
-29.606028,284,24.038133,False,False
-34.078195,265,24.270071,False,False
-31.919984,304,24.609341,False,False
-36.823339,273,24.939578,False,False
-32.619166,289,25.224566,False,False
-36.569305,280,25.466001,False,False
-20.159601,371,28.487869,False,False
-40.649899,250,28.708194,False,False
-30.502231,336,28.988271,False,False
-33.713411,267,29.203254,False,False
-36.197609,283,29.503944,False,False
-38.416227,273,29.829049,False,False
-38.28964,261,30.10385,False,False
-32.339574,323,32.977861,False,False
-29.156627,338,33.300203,False,False
-35.231279,263,33.517521,False,False
-30.540852,292,33.762604,False,False
-38.822303,256,33.976026,False,False
-38.40681,255,34.179765,False,False
-31.543102,275,34.389055,False,False
-39.635479,265,37.102656,False,False
-31.50666,306,37.348493,False,False
-23.505592,342,37.682898,False,False
-34.002078,264,37.991684,False,False
-24.085695,314,38.39166,False,False
-32.557337,292,38.657334,False,False
-23.939014,396,38.996932,False,False
-33.392846,288,41.808066,False,False
-27.66557,346,42.088678,False,False
-29.956729,274,42.322202,False,False
-28.363498,325,42.577012,False,False
-20.97374,336,42.864523,False,False
-24.27959,298,43.123173,False,False
-30.796576,300,46.063662,False,False
-31.796957,264,46.320889,False,False
-32.511206,274,46.541255,False,False
-28.018036,322,46.791107,False,False
-28.356388,320,47.046647,False,False
-27.122059,280,47.281521,False,False
-30.758732,262,47.503184,False,False
-26.980559,336,50.517509,False,False
-19.637079,286,50.732529,False,False
-24.364143,302,50.970605,False,False
-26.045193,286,51.194705,False,False
-23.152826,319,51.431428,False,False
-22.284424,288,51.671387,False,False
-24.960493,312,51.974024,False,False
-29.463469,272,54.956358,False,False
-15.973975,329,55.250895,False,False
-14.926852,279,55.461887,False,False
-17.079983,303,55.703954,False,False
-20.452633,319,55.997128,False,False
-23.718301,314,56.34428,False,False
-13.55786,282,56.637345,False,False
-21.024807,284,59.56446,False,False
-15.181716,294,59.789605,False,False
-19.318338,303,60.012285,False,False
-22.091699,273,60.266887,False,False
-21.054355,300,60.5072,False,False
-17.669615,304,60.76014,False,False
-15.871793,329,61.05839,False,False
-15.981938,292,64.306333,False,False
-11.587169,308,64.544165,False,False
-14.049592,312,64.78569,False,False
-7.74829,296,65.040296,False,False
-7.199914,325,65.362155,False,False
-12.86658,306,65.757901,False,False
-8.028721,300,68.714625,False,False
-10.229786,301,68.94528,False,False
-4.863495,302,69.177992,False,False
-7.399112,306,69.410726,False,False
-14.454195,284,69.644769,False,False
-2.402135,301,69.899038,False,False
-17.339429,274,70.155663,False,False
-9.293501,308,73.171154,False,False
-10.429435,310,73.40611,False,False
-1.372036,302,73.64212,False,False
-7.776624,302,73.879884,False,False
-9.273283,306,74.129965,False,False
-9.386644,306,74.389771,False,False
-7.641176,299,74.638456,False,False
-10.076781,310,77.58844,False,False
-0.242826,308,77.824171,False,False
-0.870374,302,78.085302,False,False
-4.498811,301,78.389361,False,False
-4.66679,309,78.857636,False,False
-3.756877,295,79.128192,False,False
1.193652,296,79.385472,False,False
-4.490933,299,82.148316,False,False
-1.17061,300,82.402429,False,False
-5.069103,302,82.752076,False,False
-0.414793,304,83.084748,False,False
-7.154682,306,83.350605,False,False
-4.431688,296,83.610827,False,False
-3.632829,304,83.938266,False,False
2.427228,305,86.738815,False,False
-1.179228,307,86.998801,False,False
