#{"t_start": 1764906071.917226, "env_id": "None"}
r,l,t,success,semi_success
-40.344211,347,1.095126,False,False
-91.940163,322,1.358649,False,False
-92.871991,271,1.612284,False,False
-88.524179,319,1.882781,False,False
-42.460501,327,2.182597,False,False
-90.513724,300,2.418767,False,False
-92.716805,279,2.681287,False,False
-91.152996,328,2.952313,False,False
-39.673669,342,3.234367,False,False
-92.768822,299,3.486772,False,False
-91.941514,303,3.726017,False,False
-40.866261,347,3.996551,False,False
-40.622671,339,19.234822,False,False
-86.399972,323,19.617673,False,False
-32.459371,369,19.912437,False,False
-90.312881,266,20.173154,False,False
-90.71812,272,20.398284,False,False
-40.187239,348,20.699651,False,False
-35.356515,350,20.99203,False,False
-87.550483,307,21.313463,False,False
-92.207718,288,21.5626,False,False
-40.525744,344,21.872424,False,False
-40.209444,345,22.318691,False,False
-40.900256,343,22.66243,False,False
-41.267872,340,22.93257,False,False
-40.813923,341,38.261303,False,False
-89.386498,275,38.483249,False,False
-92.493446,272,38.72483,False,False
-90.987888,278,38.956922,False,False
-40.316961,347,39.234769,False,False
-39.339214,357,39.571493,False,False
-40.38044,341,39.899578,False,False
-89.229718,339,40.263802,False,False
-88.617086,276,40.543963,False,False
-87.517034,284,40.778017,False,False
-93.210676,271,40.983488,False,False
-40.203952,340,41.2744,False,False
-88.977527,272,41.519092,False,False
-37.092776,355,57.121514,False,False
-91.08929,307,57.403362,False,False
-89.225845,293,57.665143,False,False
-32.816899,366,57.971037,False,False
-39.976002,360,58.332435,False,False
-89.008271,306,58.608094,False,False
-85.805875,346,58.887936,False,False
-90.405285,298,59.13699,False,False
-30.974061,340,59.438515,False,False
-35.944394,373,59.84841,False,False
-30.665685,352,60.197821,False,False
-89.769047,287,60.432401,False,False
-89.140679,320,60.72456,False,False
-38.073412,348,76.429741,False,False
-39.726352,359,76.7455,False,False
-87.848201,308,77.000454,False,False
-89.847718,323,77.251122,False,False
-32.185578,378,77.551218,False,False
-40.454138,344,77.816803,False,False
-88.307174,310,78.051633,False,False
-87.022757,303,78.295247,False,False
-86.880638,314,78.528632,False,False
-88.928619,288,78.763213,False,False
-88.033148,295,79.008135,False,False
-87.716761,357,79.297897,False,False
-91.071725,288,94.122051,False,False
-88.281982,320,94.370864,False,False
-37.9621,368,94.645433,False,False
-86.716665,317,94.895475,False,False
-89.856876,300,95.123431,False,False
-38.857323,370,95.40894,False,False
-88.74667,332,95.695959,False,False
-34.055398,363,96.044047,False,False
-85.765746,373,96.436248,False,False
-88.101747,333,96.710169,False,False
-87.541421,328,96.97243,False,False
-89.254789,298,97.210876,False,False
-87.450019,365,112.089766,False,False
-89.151181,329,112.350464,False,False
-87.275342,330,112.642046,False,False
-36.51517,377,112.944305,False,False
-36.937528,389,113.279226,False,False
-88.208785,311,113.567914,False,False
-86.484909,333,113.882337,False,False
-36.512487,382,114.213758,False,False
-81.974279,345,114.508758,False,False
-87.094933,329,114.785487,False,False
-85.697735,307,115.042859,False,False
-31.945627,412,115.39631,False,False
-35.473149,412,131.043021,False,False
-86.253613,350,131.40005,False,False
-86.401658,313,131.720775,False,False
-87.750389,325,132.005166,False,False
-87.549401,333,132.28976,False,False
-86.911868,372,132.646441,False,False
-36.770374,368,133.012775,False,False
-87.553949,323,133.417178,False,False
-87.448608,320,133.740737,False,False
-37.623656,380,134.053295,False,False
-86.044791,374,134.407184,False,False
-85.211166,388,134.754317,False,False
-35.982357,385,150.714105,False,False
-36.329638,390,151.049834,False,False
-37.630216,387,151.38435,False,False
-86.534931,316,151.656205,False,False
-86.547232,327,151.948938,False,False
-87.432968,351,152.267015,False,False
