#{"t_start": 1764889597.0407271, "env_id": "None"}
r,l,t,success,semi_success
-41.577698,342,0.706795,False,False
-92.377251,314,0.94167,False,False
-39.493587,347,1.139745,False,False
-90.979233,269,1.304773,False,False
-40.085908,340,1.487296,False,False
-41.813024,338,1.6781,False,False
-42.238927,332,3.91323,False,False
-91.072769,307,4.080873,False,False
-87.550862,342,4.264829,False,False
-40.894129,342,4.444634,False,False
-92.572757,282,4.606176,False,False
-91.459795,296,4.759586,False,False
-34.805101,345,6.824922,False,False
-92.151024,303,6.989066,False,False
-39.315891,351,7.175865,False,False
-41.063206,354,7.38636,False,False
-30.190848,388,7.677637,False,False
-40.12551,357,7.967089,False,False
-39.737785,360,10.154341,False,False
-37.936665,339,10.341997,False,False
-87.259633,347,10.53574,False,False
-91.274958,300,10.715674,False,False
-39.011916,358,10.924065,False,False
-38.885908,366,11.17552,False,False
-91.254221,286,13.2959,False,False
-88.773869,315,13.518573,False,False
-91.132061,298,13.900779,False,False
-88.636054,313,14.103629,False,False
-38.347575,352,14.338874,False,False
-90.224488,292,14.508318,False,False
-91.538958,294,14.66961,False,False
-36.745749,376,16.829202,False,False
-87.355167,326,17.007418,False,False
-38.763533,372,17.202025,False,False
-84.633294,356,17.392046,False,False
-39.851224,345,17.579396,False,False
-34.541623,384,19.759393,False,False
-89.724853,319,19.980934,False,False
-37.855374,380,20.199545,False,False
-87.942872,361,20.437466,False,False
-36.31913,386,20.711212,False,False
-87.643962,315,20.900819,False,False
-90.425598,297,22.984325,False,False
-88.069489,290,23.146938,False,False
-86.222654,382,23.414336,False,False
-29.262991,402,23.64934,False,False
-33.747123,411,23.905169,False,False
-89.640756,327,24.135373,False,False
-89.29223,307,27.080328,False,False
-87.035265,367,27.271214,False,False
-35.382833,395,27.514229,False,False
-82.468827,404,27.775751,False,False
-87.342133,374,28.056128,False,False
-88.335656,363,28.305326,False,False
-86.559339,348,30.755776,False,False
-86.967722,336,30.99673,False,False
-36.364132,388,31.227104,False,False
-89.743265,316,31.449527,False,False
-85.125917,393,31.775444,False,False
-87.154398,357,34.273702,False,False
-85.265271,391,34.537733,False,False
-86.639355,377,34.791626,False,False
-87.24033,347,35.006119,False,False
-85.242659,388,35.240622,False,False
-87.537821,368,35.442499,False,False
-86.515293,366,37.901687,False,False
-86.534395,354,38.203545,False,False
-86.645987,361,38.469747,False,False
-86.7008,361,38.70803,False,False
-84.529098,368,38.950851,False,False
-85.99189,352,41.356418,False,False
-86.26533,357,41.547502,False,False
-82.746912,392,41.786051,False,False
-86.120641,342,42.021248,False,False
-86.366586,353,42.47633,False,False
-87.001395,361,42.71884,False,False
-86.508393,361,136.022753,False,False
-86.256162,359,136.235525,False,False
-86.703251,344,136.432944,False,False
-86.523947,345,136.620969,False,False
-85.354061,362,136.827714,False,False
-85.09218,377,137.061409,False,False
-85.544262,363,146.320063,False,False
-84.524897,381,150.865516,False,False
-85.810624,354,153.291564,False,False
-86.797211,334,156.782424,False,False
-71.038638,429,160.010521,False,False
-86.345968,342,166.904575,False,False
-85.054358,357,167.334783,False,False
-86.382625,341,168.556032,False,False
-87.287553,332,169.663629,False,False
-85.855337,350,170.514451,False,False
-86.157924,343,171.365155,False,False
-86.995877,326,176.328729,False,False
-85.780529,342,176.665024,False,False
-85.364189,348,177.153102,False,False
-85.18685,338,178.053648,False,False
-84.618564,351,179.109806,False,False
-85.310107,346,179.999938,False,False
-85.066093,345,921.482326,False,False
-85.075799,341,921.671783,False,False
-84.91492,350,921.85722,False,False
-85.193853,345,922.032795,False,False
-84.955202,346,922.213344,False,False
-82.78394,359,922.400526,False,False
-85.261607,344,944.146431,False,False
-86.336773,335,944.417499,False,False
-84.454028,351,944.645725,False,False
-84.638599,344,944.863418,False,False
-85.22162,343,945.044439,False,False
-84.608844,355,945.250007,False,False
-84.848313,345,1958.978058,False,False
-84.636133,345,1959.335208,False,False
-85.118745,340,1959.557411,False,False
-85.553601,341,1959.788177,False,False
-85.863453,338,1960.000577,False,False
-85.101271,341,1960.380899,False,False
-84.061416,356,1963.43266,False,False
-85.109444,335,1963.652146,False,False
-84.250882,346,1963.896635,False,False
-85.103348,342,1964.157083,False,False
35.734312,345,1964.395367,False,True
-84.230145,347,1964.605968,False,False
-85.108669,342,1966.900417,False,False
-84.728689,344,1967.078837,False,False
-85.592457,330,1967.252463,False,False
35.853841,345,1967.428151,False,True
-84.769202,345,1967.660791,False,False
-84.550497,345,1967.858695,False,False
36.097841,346,1970.166988,False,True
35.556627,343,1970.383951,False,True
-84.439115,344,1970.598042,False,False
-84.81673,343,1970.807412,False,False
-84.401312,344,1971.007005,False,False
-84.741138,345,1971.206155,False,False
35.991231,345,1973.464772,False,True
35.649198,342,1973.649968,False,True
35.559336,344,1973.845073,False,True
36.310356,346,1974.038551,False,True
-84.433244,347,1974.229072,False,False
-84.565194,349,1974.410381,False,False
36.634739,349,1976.633589,False,True
35.919829,345,1976.814886,False,True
35.720878,345,1976.999735,False,True
35.959974,345,1977.183168,False,True
35.368521,341,1977.366151,False,True
36.093044,344,1977.55922,False,True
35.681581,347,1979.880582,False,True
-85.385179,338,1980.055272,False,False
35.895962,348,1980.233459,False,True
35.976262,345,1980.409021,False,True
35.636101,342,1980.585137,False,True
35.8968,345,1980.760589,False,True
36.312808,347,1983.024215,False,True
36.209937,345,1983.199553,False,True
36.414642,345,1983.376965,False,True
36.369233,345,1983.552333,False,True
36.354693,345,1983.729391,False,True
36.748192,347,1983.907584,False,True
36.243911,345,1986.195471,False,True
36.306871,345,1986.378519,False,True
36.48994,345,1986.559035,False,True
36.205291,345,1986.735807,False,True
36.302179,346,1986.913343,False,True
36.027152,344,1987.088479,False,True
36.47616,345,2891.044505,False,True
36.58764,344,2891.249327,False,True
36.367988,345,2891.436561,False,True
36.391346,345,2891.619417,False,True
36.529196,345,2891.881791,False,True
36.122466,345,2892.118254,False,True
36.767832,345,2894.444202,False,True
36.472845,345,2894.66034,False,True
36.576263,345,2894.908493,False,True
36.596889,345,2895.146244,False,True
36.674144,345,2895.347254,False,True
36.677226,345,2895.535711,False,True
36.720194,345,2897.961898,False,True
36.788641,345,2898.152888,False,True
36.909599,345,2898.341861,False,True
36.757401,345,2898.552472,False,True
36.604747,344,2898.729589,False,True
36.519565,344,2898.916744,False,True
36.869663,345,2901.220684,False,True
36.660432,345,2901.397584,False,True
36.794626,345,2901.575295,False,True
36.864122,345,2901.75309,False,True
36.846311,345,2901.928005,False,True
36.81192,344,2902.109369,False,True
36.925954,345,2904.419261,False,True
36.875598,345,2904.596561,False,True
36.904507,345,2904.776916,False,True
36.940727,345,2904.954307,False,True
36.887948,345,2905.13998,False,True
36.908684,345,2907.405541,False,True
37.03179,345,2907.584673,False,True
37.019262,345,2907.763328,False,True
36.908993,345,2907.939587,False,True
37.032613,345,2908.116665,False,True
36.931046,344,2908.292974,False,True
36.885702,345,2910.551561,False,True
36.866996,345,2910.730971,False,True
36.915695,345,2910.907533,False,True
37.023321,345,2911.084635,False,True
37.068945,345,2911.27015,False,True
37.035086,345,2911.44565,False,True
37.064508,345,2913.712899,False,True
37.128168,345,2913.893078,False,True
37.024192,345,2914.076103,False,True
37.029346,345,2914.253442,False,True
36.978947,345,2914.430493,False,True
37.068333,345,2914.608342,False,True
37.124908,345,2916.869436,False,True
37.134278,345,2917.048118,False,True
37.079041,345,2917.22484,False,True
37.074991,345,2917.415711,False,True
37.08905,345,2917.597037,False,True
37.146926,345,2917.780244,False,True
37.071031,345,2920.050467,False,True
37.11916,345,2920.230078,False,True
37.099997,345,2920.424559,False,True
37.194609,345,3967.20135,False,True
37.128314,345,3967.461973,False,True
37.116524,345,3967.733623,False,True
37.124448,345,3970.1195,False,True
37.215059,345,3970.330112,False,True
37.056026,345,3970.538325,False,True
37.203813,345,3970.759338,False,True
37.149186,345,3970.994124,False,True
37.143012,345,3971.228554,False,True
37.122514,345,3973.612732,False,True
37.109301,345,3973.824923,False,True
37.17552,345,3974.038333,False,True
