#{"t_start": 1764886409.506992, "env_id": "None"}
r,l,t,success,semi_success
-0.941642,339,1.02065,False,False
-51.66585,298,1.297511,False,False
-0.952674,323,1.524738,False,False
-57.69476,299,1.713975,False,False
8.592363,322,1.968524,False,False
0.464391,331,2.172978,False,False
-1.024118,330,4.669721,False,False
-50.969524,292,4.916903,False,False
-48.686091,314,5.158537,False,False
2.868469,349,5.388272,False,False
-2.643556,335,5.588964,False,False
-49.305556,322,5.776862,False,False
-49.468599,311,8.279623,False,False
-46.062086,297,8.467467,False,False
-1.746166,337,8.665701,False,False
-52.30132,296,8.882152,False,False
-53.651871,269,9.079095,False,False
-43.260294,294,9.304886,False,False
0.463054,342,9.601712,False,False
-50.600911,299,12.260903,False,False
-44.392013,326,12.46898,False,False
-50.889696,290,12.678274,False,False
2.772533,340,12.929081,False,False
-51.316329,283,13.126295,False,False
2.727786,339,13.452045,False,False
16.644601,325,16.034816,False,False
-51.478632,285,16.233105,False,False
6.060048,363,16.493809,False,False
5.086677,346,16.709918,False,False
-46.654563,291,16.937419,False,False
13.040388,328,17.241949,False,False
4.362842,357,17.487057,False,False
2.920005,341,20.052849,False,False
11.223111,348,20.28357,False,False
-43.330302,304,20.470897,False,False
18.71104,333,20.685979,False,False
0.907903,339,20.909356,False,False
-44.469491,298,21.12503,False,False
-39.513423,319,23.669755,False,False
16.080557,343,23.997957,False,False
-37.958413,298,24.189473,False,False
9.531758,344,24.397632,False,False
-38.923178,333,24.614146,False,False
-33.263722,329,24.821592,False,False
10.790579,347,27.479125,False,False
15.814314,372,27.730758,False,False
9.237763,368,27.957597,False,False
-29.394073,335,28.168319,False,False
-42.274055,298,28.339844,False,False
-32.243066,351,28.545376,False,False
-32.839512,353,31.11337,False,False
-24.776108,344,31.441921,False,False
12.014341,366,31.689155,False,False
-33.969392,306,31.878659,False,False
18.706046,374,32.111636,False,False
-31.874608,315,32.314123,False,False
-38.230665,342,34.825647,False,False
-28.793829,348,35.05091,False,False
-30.32612,313,35.26828,False,False
-26.772449,328,35.546096,False,False
-26.392191,321,35.795176,False,False
-35.474213,311,35.995888,False,False
-30.508672,342,38.544166,False,False
-26.571209,326,38.79263,False,False
-22.391737,360,39.11175,False,False
-22.071628,378,39.371098,False,False
-19.460069,344,39.605543,False,False
-19.928209,330,39.825294,False,False
-31.990362,328,42.369608,False,False
25.423092,389,42.664581,False,False
-24.050038,321,42.939736,False,False
-22.039362,364,43.233187,False,False
-25.607773,331,43.443823,False,False
-14.933339,349,43.654669,False,False
-21.092754,333,46.274632,False,False
-12.211206,331,46.565792,False,False
-16.074027,327,46.875536,False,False
-12.922596,337,47.149357,False,False
-6.906705,347,47.396131,False,False
-6.903105,337,47.617112,False,False
-13.564293,349,50.281401,False,False
-6.935114,333,50.544687,False,False
-8.24121,346,50.81865,False,False
-4.057023,351,51.136093,False,False
-7.880272,342,51.423311,False,False
-12.592237,344,51.681622,False,False
