#{"t_start": 1764740506.492901, "env_id": "None"}
r,l,t,success
71.322522,252,0.896553,False
72.660087,262,1.105569,False
71.978939,252,1.308472,False
74.445362,244,1.467678,False
69.968673,248,1.60362,False
74.799851,264,1.745464,False
73.724157,245,1.865851,False
79.070312,303,4.133235,False
74.755163,261,4.26351,False
69.979084,253,4.38701,False
76.216433,273,4.52659,False
70.668451,239,4.644686,False
70.072519,243,4.768258,False
71.137757,233,4.887489,False
70.796452,235,5.008698,False
74.433593,264,5.141766,False
71.72435,229,7.4113,False
75.851606,248,7.585836,False
73.867267,267,7.770209,False
70.772227,239,7.946673,False
81.911383,309,8.161375,False
75.723316,266,8.304663,False
74.392984,264,8.449136,False
72.512283,239,8.565938,False
78.159943,273,10.821917,False
72.220183,242,10.961366,False
69.752017,252,11.137274,False
72.208818,246,11.290808,False
81.005422,288,11.460629,False
74.322511,263,11.686851,False
74.312581,271,11.937609,False
76.188982,275,14.213339,False
70.75176,245,14.344996,False
75.666317,249,14.485908,False
70.521313,247,14.63039,False
76.884263,251,14.782052,False
77.020886,270,14.931387,False
78.488016,285,15.085255,False
74.144079,264,15.245061,False
69.42996,227,17.472348,False
74.367815,249,17.71677,False
83.589354,293,17.895707,False
71.224586,238,18.059982,False
77.735561,276,18.21748,False
71.948709,256,18.347551,False
80.948975,300,18.514599,False
74.45917,235,18.659262,False
69.932232,235,20.882661,False
82.143657,277,21.06465,False
79.766335,287,21.22501,False
66.888851,226,21.353919,False
80.543334,288,21.50057,False
67.649793,231,21.614298,False
70.39159,243,21.734938,False
71.894694,239,21.860629,False
77.991625,263,24.003379,False
71.643896,237,24.163232,False
82.269556,292,24.352351,False
81.36721,279,24.507117,False
79.25426,278,24.655002,False
71.999406,243,24.774534,False
78.744569,277,24.938031,False
71.707776,244,25.066331,False
79.78352,276,27.318883,False
74.562536,241,27.436814,False
81.934039,271,27.583099,False
74.662921,256,27.711949,False
75.555357,253,27.848076,False
85.23534,283,27.99357,False
71.932916,247,28.127587,False
78.763958,270,28.304826,False
75.808699,264,30.572575,False
93.42797,299,30.731547,False
87.137807,283,30.893381,False
74.599205,251,31.029116,False
84.16741,279,31.189467,False
74.998217,252,31.349349,False
79.836904,260,31.514439,False
76.356568,257,33.753232,False
78.232145,255,33.942218,False
73.029603,243,34.092778,False
69.532117,231,34.299054,False
73.244704,251,34.497157,False
76.473558,254,34.694925,False
81.298842,276,34.845516,False
88.875538,290,34.994377,False
76.046241,253,37.26147,False
85.230635,284,37.415237,False
85.088374,283,37.576943,False
81.241378,269,37.744733,False
83.44074,277,37.891636,False
85.802726,280,38.052514,False
85.041106,281,38.234631,False
73.030596,240,38.396978,False
82.260281,266,40.763732,False
78.286517,255,40.920182,False
78.637545,260,41.114197,False
75.282928,251,41.303636,False
80.550056,257,41.468112,False
72.008333,236,41.6105,False
94.290925,292,41.801207,False
88.975295,280,41.950395,False
77.356246,252,44.189215,False
81.527247,265,44.383446,False
78.071931,252,44.526051,False
78.452051,253,44.691093,False
91.602627,278,44.879033,False
82.053712,264,45.079496,False
80.456832,257,45.229783,False
75.819544,249,45.366978,False
102.695801,294,47.680047,False
89.017622,276,47.831189,False
89.419048,275,47.971074,False
94.722471,287,48.111609,False
94.255247,282,48.259954,False
84.302055,268,48.419753,False
78.03954,252,48.55484,False
77.083935,250,50.855958,False
87.387206,272,51.01306,False
86.569889,269,51.214776,False
88.067403,270,51.419682,False
100.046643,290,51.606563,False
89.462863,280,51.762765,False
94.06033,283,51.912967,False
92.596936,280,54.08702,False
93.710247,281,54.266025,False
79.483637,252,54.399809,False
86.924179,267,54.532935,False
94.166047,283,54.677712,False
87.650866,268,54.824852,False
82.872196,252,55.042016,False
95.500342,283,55.225148,False
92.220386,278,57.538419,False
88.153785,270,57.709353,False
90.594164,272,57.883449,False
93.692021,279,58.042769,False
97.366282,287,58.191735,False
88.248265,268,58.322963,False
94.017589,276,58.457651,False
94.470886,280,60.696813,False
99.033415,283,60.851314,False
101.6624,289,61.018502,False
101.001422,290,61.190046,False
94.896075,280,61.343883,False
88.303179,269,61.511867,False
94.274241,278,61.659116,False
104.126125,291,61.815469,False
98.791972,287,64.0973,False
100.431072,286,64.273456,False
93.995654,277,64.460968,False
89.648368,271,64.630456,False
82.720031,255,64.786345,False
99.505064,282,64.935728,False
92.028604,273,65.071057,False
102.633221,288,67.374067,False
94.539991,276,67.515663,False
100.927433,286,67.662022,False
100.288122,284,67.832696,False
99.544932,283,67.995172,False
101.985561,286,68.146586,False
103.137872,287,68.326545,False
103.192774,288,70.710227,False
104.011618,287,70.863306,False
104.45867,289,71.003403,False
100.39617,284,71.152504,False
102.66181,288,71.330407,False
99.46314,282,71.500312,False
99.725679,285,71.659581,False
103.379672,288,74.111668,False
99.605922,281,74.274524,False
103.295048,286,74.473189,False
103.836941,287,74.668929,False
106.103476,289,74.86462,False
98.942604,281,75.074976,False
104.603037,289,75.295562,False
104.501885,289,75.555079,False
