#{"t_start": 1764787633.444598, "env_id": "None"}
r,l,t,success
2.313251,287,0.871399,False
-1.947601,318,1.089358,False
0.099254,263,1.265763,False
2.728331,281,1.456358,False
-3.591882,320,1.670053,False
6.999567,339,1.88955,False
-1.099467,302,4.356229,False
13.840558,280,4.546401,False
5.454312,254,4.712834,False
1.079173,305,4.918523,False
2.321092,256,5.095431,False
7.29109,253,5.260306,False
16.9871,274,5.44554,False
0.736528,285,5.644611,False
0.60332,273,8.340498,False
2.473954,283,8.53887,False
3.69534,283,8.739705,False
0.962092,304,8.949169,False
1.425189,268,9.126473,False
2.38016,266,9.301848,False
3.643302,331,9.543909,False
8.32597,286,12.307164,False
13.50002,285,12.508582,False
2.454216,268,12.711942,False
3.559068,260,12.908782,False
8.105131,322,13.16845,False
2.195561,329,13.440835,False
7.388937,288,13.65698,False
11.699744,271,16.32396,False
9.465148,276,16.519346,False
5.375782,285,16.720565,False
3.952293,280,16.917601,False
4.75473,312,17.144937,False
2.794306,285,17.340906,False
8.60581,262,17.551965,False
16.501918,283,20.02551,False
6.055687,297,20.2406,False
6.110202,300,20.441504,False
4.836057,296,20.638773,False
6.687471,306,20.853164,False
7.07674,290,21.048616,False
9.436292,272,21.287292,False
7.260049,283,23.888368,False
7.091135,300,24.127155,False
9.451959,292,24.325884,False
7.051927,293,24.519134,False
7.299073,299,24.716249,False
6.131476,285,24.911246,False
7.567507,305,25.121829,False
7.885723,295,27.526738,False
8.417713,292,27.726935,False
9.968987,274,27.9225,False
7.96904,303,28.128962,False
11.20479,309,28.343987,False
9.866255,296,28.54985,False
15.012547,275,28.741794,False
7.877475,298,31.473185,False
11.43826,298,31.727615,False
10.811323,297,31.952591,False
11.635771,298,32.16776,False
8.883392,304,32.388594,False
10.902694,300,32.602535,False
12.308691,291,32.81669,False
10.723513,296,35.483362,False
12.799488,305,35.712041,False
11.615099,304,35.937516,False
11.928322,299,36.152352,False
14.183472,292,36.365021,False
15.282843,311,36.603559,False
10.831901,302,36.814678,False
12.997373,306,39.330971,False
13.886942,304,39.566124,False
13.765656,306,39.777949,False
12.934638,307,39.986374,False
13.397939,305,40.195767,False
13.06849,304,40.422675,False
13.233004,304,40.653976,False
14.88783,305,43.166787,False
14.236988,308,43.440896,False
14.00861,307,43.68362,False
13.93677,308,43.905268,False
16.585856,308,44.113428,False
14.06179,305,44.318952,False
14.88788,309,46.92011,False
15.312152,310,47.167636,False
15.257739,309,47.553559,False
15.151004,309,47.962517,False
14.449654,309,48.193159,False
15.001704,309,48.407862,False
14.875269,308,48.612473,False
16.429761,309,51.319652,False
15.713964,310,51.533795,False
15.380539,310,51.741934,False
15.999482,311,51.944154,False
14.887484,310,52.148507,False
15.43786,310,52.351251,False
15.331177,308,54.859087,False
15.890854,311,55.104196,False
17.64902,310,55.362955,False
16.487192,312,55.611782,False
15.904592,311,55.84765,False
15.764556,311,56.080896,False
15.965745,311,56.352377,False
16.381816,312,59.357825,False
16.341139,312,59.581482,False
16.55274,312,59.806283,False
16.839641,312,60.048206,False
16.501176,312,60.292688,False
16.451898,312,60.529038,False
16.255101,311,60.768373,False
16.878174,313,63.644959,False
16.779717,312,63.866342,False
16.932476,313,64.102525,False
16.894585,312,64.339476,False
17.058821,313,64.63426,False
16.847643,312,64.928221,False
16.635079,312,67.617955,False
17.191238,313,67.860231,False
16.84199,313,68.095149,False
17.162913,313,68.328143,False
16.983074,313,68.600369,False
17.290312,313,68.899254,False
16.865608,313,69.151749,False
17.106122,313,71.769425,False
17.006993,313,71.989212,False
17.031131,313,72.21463,False
17.075047,313,72.435777,False
17.277256,313,72.65803,False
16.866652,313,72.892744,False
16.999178,313,75.812291,False
17.183478,313,76.055625,False
17.036646,313,76.288869,False
17.213612,314,76.521106,False
17.280428,314,76.744873,False
17.200635,313,76.978819,False
17.199168,313,77.218126,False
17.393561,314,79.974465,False
17.19468,313,80.273867,False
17.14254,313,80.499833,False
17.109378,313,80.734722,False
17.336639,314,80.978071,False
17.162369,313,81.203969,False
17.328808,314,83.738271,False
17.183108,313,83.975312,False
17.452935,314,84.234532,False
17.449334,314,84.550489,False
17.249082,313,84.830587,False
17.345259,314,85.075737,False
17.52295,314,85.304181,False
17.343803,313,88.086221,False
17.077293,313,88.334872,False
17.370313,314,88.570899,False
17.323005,314,88.800305,False
17.404732,314,89.026183,False
17.354273,314,89.256693,False
17.528193,314,91.824704,False
17.519179,314,92.088259,False
17.462675,314,92.334091,False
17.338119,314,92.59796,False
17.499364,314,92.884286,False
17.445838,314,93.211471,False
17.375909,314,93.467829,False
17.465351,314,96.032272,False
17.397737,314,96.276301,False
17.544911,314,96.528029,False
17.387007,314,96.766658,False
17.470737,314,96.996915,False
17.580256,314,97.218472,False
17.329661,314,99.951206,False
17.457639,314,100.269282,False
17.446158,314,100.542702,False
17.523033,314,100.8063,False
17.571522,314,101.044298,False
17.515729,314,101.284147,False
17.481007,314,101.528458,False
17.543576,314,104.415795,False
17.48145,314,104.789531,False
17.608681,314,105.095635,False
17.436581,314,105.341174,False
17.644893,314,105.572772,False
17.42769,314,105.806895,False
17.598251,314,108.492031,False
17.576591,314,108.749956,False
17.577623,314,108.986013,False
17.576691,314,109.222522,False
17.517206,314,109.458603,False
17.535663,314,109.690416,False
17.554533,314,109.930768,False
17.566749,314,112.848712,False
17.613348,314,113.080837,False
17.5449,314,113.330166,False
17.560531,314,113.590526,False
17.56761,314,113.92758,False
17.554224,314,114.203114,False
17.662773,314,114.443114,False
17.612521,314,117.260678,False
17.606832,314,117.496734,False
17.563612,314,117.727458,False
17.587778,314,117.962072,False
17.566323,314,118.194178,False
17.634339,314,118.441127,False
17.591435,314,121.538503,False
17.512505,314,121.834927,False
17.563394,314,122.116857,False
17.561687,314,122.365193,False
17.571123,314,122.595497,False
17.579179,314,122.833098,False
17.565101,314,123.07389,False
17.712973,314,126.119064,False
17.74813,314,126.353417,False
17.632073,314,126.589715,False
17.615699,314,126.862675,False
17.581696,314,127.120083,False
17.544547,314,127.383114,False
17.59813,314,130.055243,False
17.709268,314,130.320474,False
17.600526,314,130.577587,False
17.731467,314,130.811555,False
17.548631,314,131.089026,False
17.711688,314,131.452593,False
17.552802,314,131.683022,False
17.642752,314,134.117494,False
17.602826,314,134.326206,False
17.652442,314,134.532195,False
17.645705,314,134.761363,False
17.645056,314,134.975355,False
17.635388,314,135.237403,False
17.639641,314,137.816957,False
17.670492,314,138.029011,False
17.615062,314,138.23927,False
17.639137,314,138.456255,False
17.715272,314,138.680021,False
17.632936,314,138.899674,False
17.607555,314,139.125785,False
17.653346,314,141.818506,False
17.61839,314,142.107177,False
17.626165,314,142.399887,False
17.635309,314,142.707821,False
17.585014,314,142.967453,False
17.649557,314,143.213152,False
17.677685,314,146.364225,False
17.599301,314,146.646292,False
17.623953,314,146.886985,False
17.602045,314,147.141009,False
17.595622,314,147.427973,False
17.653328,314,147.728721,False
17.566606,314,147.985889,False
17.602041,314,150.858818,False
17.60035,314,151.105449,False
17.599579,314,151.344643,False
17.593875,314,151.585817,False
17.732171,314,151.812655,False
17.594016,314,152.053238,False
17.63332,314,154.834373,False
17.739296,314,155.075588,False
17.60001,314,155.349655,False
17.74452,314,155.686613,False
17.606747,314,156.014252,False
17.602749,314,156.365683,False
17.74282,314,156.588297,False
17.631246,314,159.697654,False
17.611604,314,159.954849,False
17.630127,314,160.218862,False
17.623178,314,160.545401,False
17.747975,314,160.82879,False
17.604135,314,161.055171,False
17.641783,314,163.990503,False
17.612008,314,164.24094,False
17.62627,314,164.480952,False
17.621393,314,164.703535,False
17.62349,314,164.950241,False
17.635038,314,165.186882,False
