#{"t_start": 1764797763.5346618, "env_id": "None"}
r,l,t,success,semi_success
-32.980096,369,0.908457,False,False
-22.626538,286,1.122745,False,True
-20.071186,252,1.286535,False,False
-23.194531,274,1.464971,False,False
-32.832107,397,1.748392,False,False
-19.486151,244,1.931151,False,False
-20.871212,257,4.558063,False,False
-20.27457,262,4.718654,False,False
-18.95839,247,4.865845,False,False
-20.82197,251,5.013175,False,False
-20.671776,248,5.164148,False,False
-28.249252,313,5.346955,False,True
-20.281805,255,5.49675,False,False
-22.308564,267,5.658539,False,False
-22.53386,264,8.275709,False,False
-23.801159,278,8.464767,False,False
-19.186227,246,8.627542,False,False
-20.505896,263,8.785629,False,False
-33.971457,337,8.987846,False,True
-30.433343,317,9.184756,False,True
-23.226988,274,9.349223,False,False
-24.911793,306,11.895253,False,True
-21.556267,278,12.075021,False,False
-19.054101,252,12.241294,False,False
-21.54775,265,12.414447,False,False
-25.625478,286,12.587772,False,True
-24.000221,277,12.819321,False,False
-44.887593,458,13.219995,False,False
-20.877636,255,15.933177,False,False
-29.450327,321,16.132911,False,True
-22.380457,270,16.293654,False,False
-25.817761,287,16.466925,False,True
-29.547189,323,16.656715,False,True
-24.496241,309,16.844592,False,True
-23.053844,276,17.020402,False,False
-21.783195,271,19.594866,False,False
-35.105365,372,19.844934,False,False
-29.505086,316,20.057717,False,True
-18.962006,260,20.252416,False,False
-21.261018,279,20.461534,False,False
-19.35897,259,20.662605,False,False
-18.505127,258,20.831393,False,False
-20.206643,271,23.410109,False,False
-17.38749,258,23.664202,False,False
-16.53532,248,23.845231,False,False
-20.501819,268,24.011431,False,False
-19.322636,267,24.172368,False,False
-21.191788,284,24.355671,False,False
-24.530675,313,24.592341,False,True
-18.71975,263,24.965267,False,False
-21.879428,288,27.533346,False,False
-19.436644,289,27.708262,False,False
-19.765352,290,27.885352,False,False
-15.534201,268,28.048613,False,False
-20.617402,300,28.226093,False,False
-17.445341,277,28.426278,False,False
-22.570218,304,28.62102,False,False
-17.622537,272,31.124998,False,False
-17.39157,285,31.308747,False,False
-21.467607,309,31.496004,False,False
-17.135242,274,31.659831,False,False
-22.06188,308,31.844583,False,False
-17.168005,269,32.008815,False,False
-16.52524,277,32.172432,False,False
-26.15254,329,34.793683,False,True
-16.410303,270,34.988504,False,False
-16.767708,295,35.196369,False,False
-15.918363,279,35.403178,False,False
-15.802401,280,35.573343,False,False
-17.797702,300,35.780085,False,False
-18.742079,293,35.981901,False,False
-15.377265,284,38.545611,False,False
-16.510919,302,39.305911,False,False
-14.649255,290,39.583578,False,False
-18.367845,299,39.921042,False,False
-15.647196,296,40.245607,False,False
-18.540161,310,40.462797,False,False
-15.819449,304,40.656032,False,False
-13.431888,292,43.119103,False,False
-14.950307,302,43.31023,False,False
-12.500851,296,43.481609,False,False
-12.477697,296,43.659127,False,False
-14.307138,291,43.825445,False,False
-13.37175,297,43.994152,False,False
-14.571114,307,44.172893,False,False
-13.443927,298,46.662133,False,False
-17.079301,306,46.86453,False,False
-12.662963,299,47.077986,False,False
-12.958122,304,47.266928,False,False
-11.404426,298,47.466638,False,False
-12.861097,298,47.67744,False,False
-12.119836,301,47.90012,False,False
-12.764156,300,50.604332,False,False
-10.848707,303,50.772186,False,False
-11.637955,300,50.942469,False,False
-11.673041,304,51.1093,False,False
-12.939837,305,51.281715,False,False
-12.138578,303,51.453631,False,False
-11.872258,303,105.140746,False,False
-12.318243,306,105.346727,False,False
-10.475987,307,105.549983,False,False
-9.92293,306,105.908649,False,False
-10.608845,305,106.116329,False,False
-10.53138,306,106.287747,False,False
-10.239445,306,106.466194,False,False
-11.377082,308,133.749699,False,False
-10.274466,310,133.942426,False,False
-10.341286,308,134.128477,False,False
-10.225622,309,134.303137,False,False
-10.161276,308,134.474102,False,False
-10.33678,310,134.654327,False,False
-9.711471,308,1125.080061,False,False
-10.511706,308,1127.445375,False,False
-10.562784,308,1127.624496,False,False
-9.297481,310,1127.822241,False,False
-9.693043,309,1127.99357,False,False
-9.487344,309,1128.188292,False,False
-9.592667,309,1128.437727,False,False
-9.562682,310,2138.478498,False,False
-9.27169,310,2138.681177,False,False
-8.906771,311,2138.876159,False,False
-8.8411,311,2139.066206,False,False
-8.802067,311,2139.242836,False,False
-8.958854,312,2139.431836,False,False
-8.999762,311,2139.602352,False,False
-8.874538,311,2141.947931,False,False
-8.947277,311,2142.123159,False,False
-8.855225,311,2142.295475,False,False
-8.823545,311,2142.463446,False,False
-9.058367,311,2142.641105,False,False
-8.847145,311,2142.814087,False,False
-8.941665,311,3149.932093,False,False
-8.798216,312,3152.393409,False,False
-9.075304,311,3152.567694,False,False
-9.211721,311,3152.763316,False,False
-8.981581,311,3152.931054,False,False
-8.921846,311,3153.139029,False,False
-8.591131,311,3153.403849,False,False
-9.395113,310,7308.475806,False,False
-8.910481,311,7308.691323,False,False
-8.913526,312,7308.89135,False,False
-8.7565,312,7309.086944,False,False
-9.125394,310,7309.291804,False,False
-9.108576,312,7309.486341,False,False
-8.601011,312,7309.681583,False,False
-9.444956,311,7344.973715,False,False
-8.812701,312,7345.213683,False,False
-9.069283,311,7345.436052,False,False
-8.182084,313,7345.672004,False,False
-8.498095,312,7345.885737,False,False
-8.689784,312,7346.075549,False,False
-8.602464,312,9882.386565,False,False
-8.369785,313,9882.576355,False,False
-8.152125,313,9882.740816,False,False
-8.331465,313,9882.911495,False,False
-8.225183,313,9883.0807,False,False
-8.078005,313,9883.25627,False,False
-8.456128,313,9883.442886,False,False
-8.318246,312,10838.63102,False,False
-8.016698,313,10838.833146,False,False
-8.07456,313,10839.037339,False,False
-8.289247,313,10839.226653,False,False
-8.185279,313,10839.425668,False,False
-8.0273,313,10839.626808,False,False
-8.082156,313,10967.896744,False,False
-7.993885,314,10968.14461,False,False
-7.923686,314,10968.376603,False,False
-8.07847,313,10968.592807,False,False
-8.185308,313,10968.804502,False,False
-8.140552,313,10969.021147,False,False
-8.163246,313,10969.233547,False,False
-7.947478,313,10985.261525,False,False
-7.777861,314,10985.448156,False,False
-8.156488,313,10985.639758,False,False
-8.1884,313,10985.835897,False,False
-7.989455,313,10986.035337,False,False
-7.98198,313,10986.22666,False,False
-7.912778,313,10988.649065,False,False
-7.921762,314,10988.847968,False,False
-7.881165,314,10989.032563,False,False
-7.876026,314,10989.218918,False,False
-7.863207,314,10989.415606,False,False
-8.109008,313,10989.606356,False,False
-8.061617,313,10989.785466,False,False
-7.882138,314,11897.137474,False,False
-7.914993,314,11897.325966,False,False
-7.7371,314,11897.523123,False,False
-7.862085,314,11897.726913,False,False
-7.836916,314,11897.905048,False,False
-7.892977,314,11898.104939,False,False
-7.944786,314,13089.063028,False,False
-7.79783,314,13089.31206,False,False
-7.771225,314,13089.535349,False,False
-7.820529,314,13089.744507,False,False
-7.852819,314,13089.95357,False,False
-7.823899,314,13090.16083,False,False
-7.812674,314,13090.357989,False,False
-7.789851,314,13112.131505,False,False
-7.75474,314,13112.366033,False,False
-7.752729,314,13112.574698,False,False
-7.725396,314,13112.788719,False,False
-7.783496,314,13112.997941,False,False
-7.733129,314,13113.209791,False,False
-7.727549,314,13113.413433,False,False
-7.684969,314,13155.013585,False,False
-7.74114,314,13155.180944,False,False
-7.699304,314,13155.351705,False,False
-7.77179,314,13155.530823,False,False
-7.735097,314,13155.700557,False,False
-7.818708,314,13155.875548,False,False
-7.768064,314,13172.131901,False,False
-7.750829,314,13213.221335,False,False
-7.719767,314,13213.472884,False,False
-7.716163,314,13213.671142,False,False
-7.741586,314,13213.84569,False,False
-7.809011,314,13214.022717,False,False
-7.701902,314,13214.197253,False,False
-7.747584,314,13216.555737,False,False
-7.701879,314,13224.34261,False,False
-7.726175,314,13224.546058,False,False
-7.721685,314,13224.716569,False,False
-7.682929,314,13224.882879,False,False
-7.678985,314,13225.048655,False,False
-7.682045,314,13283.116557,False,False
-7.656785,314,13283.28787,False,False
-7.664796,314,13283.452037,False,False
-7.639937,314,13283.61645,False,False
-7.666405,314,13283.781239,False,False
-7.723413,314,13283.954639,False,False
-7.661579,314,13284.122355,False,False
-7.708605,314,13301.63474,False,False
-7.675319,314,13301.812499,False,False
-7.70268,314,13301.977085,False,False
-7.667235,314,13302.141788,False,False
-7.677316,314,13342.568577,False,False
-7.721027,314,13342.816979,False,False
-7.759866,314,13345.171455,False,False
-7.782953,314,13345.348052,False,False
-7.63564,314,13345.515323,False,False
-7.666221,314,13345.69756,False,False
-7.662963,314,13345.911125,False,False
-7.704668,314,13346.243421,False,False
-7.693844,314,13352.127587,False,False
-7.67247,314,14628.808358,False,False
-7.659815,314,14628.990988,False,False
-7.663127,314,14629.17668,False,False
-7.719432,314,14629.348831,False,False
-7.654287,314,14629.528855,False,False
-7.680369,314,14629.709432,False,False
-7.641345,314,14663.851007,False,False
-7.656236,314,14664.025114,False,False
-7.651353,314,14664.203939,False,False
-7.644912,314,14664.375762,False,False
-7.67969,314,14664.540997,False,False
-7.643158,314,14664.703798,False,False
-7.683613,314,14664.870104,False,False
-7.665441,314,18290.230054,False,False
-7.664426,314,18290.395147,False,False
-7.660109,314,18290.571632,False,False
-7.650943,314,18290.769202,False,False
-7.676391,314,18290.963706,False,False
-7.682857,314,18291.233725,False,False
-7.640797,314,18470.5362,False,False
-7.663021,314,18470.750622,False,False
-7.662334,314,18470.943537,False,False
-7.665374,314,18471.119738,False,False
-7.681811,314,18471.297115,False,False
-7.631224,314,18471.475301,False,False
-7.697771,314,18471.651215,False,False
-7.637465,314,18474.27785,False,False
-7.630651,314,18474.474899,False,False
-7.722516,314,18474.665105,False,False
-7.636082,314,18474.855873,False,False
-7.662798,314,18475.045668,False,False
-7.653515,314,18475.23527,False,False
-7.672536,314,18478.081154,False,False
-7.668572,314,18478.274175,False,False
-7.649762,314,18478.468034,False,False
-7.699698,314,18478.664887,False,False
-7.635282,314,18478.859426,False,False
-7.625546,314,18479.047955,False,False
-7.674526,314,18479.241767,False,False
-7.657956,314,18482.167445,False,False
-7.652091,314,18482.401005,False,False
-7.672028,314,18483.152021,False,False
-7.664375,314,18483.408405,False,False
-7.696014,314,18483.629469,False,False
-7.667296,314,18483.839166,False,False
-7.650168,314,18486.863761,False,False
-7.701042,314,18487.038267,False,False
-7.680736,314,18487.223844,False,False
-7.659083,314,18487.41035,False,False
-7.705987,314,18487.591329,False,False
-7.703497,314,18487.777086,False,False
-7.681525,314,18487.962767,False,False
-7.683761,314,18490.684807,False,False
-7.646898,314,18490.882029,False,False
-7.6812,314,18491.080114,False,False
-7.625716,314,18491.275288,False,False
-7.635061,314,18491.457574,False,False
-7.673091,314,18491.648254,False,False
-7.667523,314,18494.133324,False,False
-7.653515,314,18494.330254,False,False
-7.670941,314,18494.517696,False,False
-7.658738,314,18494.718725,False,False
-7.678739,314,18494.918925,False,False
-7.643187,314,18495.125148,False,False
-7.67243,314,18495.317579,False,False
-7.649833,314,19369.541423,False,False
-7.697294,314,19369.714773,False,False
-7.681979,314,19369.894984,False,False
-7.616723,314,19370.06388,False,False
-7.672439,314,19370.27752,False,False
-7.680397,314,19370.508716,False,False
-7.651706,314,19373.162423,False,False
-7.686966,314,19373.392591,False,False
-7.678337,314,19373.630149,False,False
-7.650181,314,19373.910125,False,False
-7.634097,314,19374.129089,False,False
-7.681344,314,19374.371115,False,False
-7.645598,314,19374.604392,False,False
-7.661514,314,19379.658867,False,False
-7.644958,314,19379.834719,False,False
-7.646943,314,19380.025721,False,False
-7.662739,314,19380.199554,False,False
-7.648533,314,19380.391037,False,False
-7.653038,314,19380.753768,False,False
-7.630839,314,19383.504344,False,False
-7.649811,314,19383.681739,False,False
-7.681658,314,19383.846664,False,False
-7.637099,314,19384.009967,False,False
-7.632666,314,19384.195943,False,False
-7.622391,314,19384.604811,False,False
-7.638454,314,19385.001041,False,False
-7.614409,314,19387.599647,False,False
-7.639099,314,19387.763336,False,False
-7.643507,314,19387.927529,False,False
-7.634569,314,19388.090932,False,False
-7.616956,314,19388.257492,False,False
-7.634481,314,19388.421154,False,False
-7.626689,314,19388.594912,False,False
-7.646302,314,19391.246048,False,False
-7.652326,314,19391.437083,False,False
-7.641405,314,19391.631451,False,False
-7.633369,314,19391.820418,False,False
-7.661633,314,19392.016154,False,False
-7.648428,314,19392.206914,False,False
-7.645911,314,19394.738994,False,False
-7.636794,314,19394.942359,False,False
-7.643191,314,19395.139431,False,False
-7.648167,314,19395.335325,False,False
-7.61751,314,19395.532792,False,False
-7.611026,314,19395.727967,False,False
-7.641395,314,19395.92402,False,False
-7.644047,314,21898.296206,False,False
-7.622541,314,21898.562698,False,False
