#{"t_start": 1764911276.609641, "env_id": "None"}
r,l,t,success,semi_success
-87.818164,389,1.005687,False,False
-39.714182,407,1.281366,False,False
-89.461897,389,1.554952,False,False
-89.05845,400,1.826237,False,False
-87.342023,388,2.101685,False,False
-85.187281,416,4.592616,False,False
-82.718619,401,4.844414,False,False
-88.166429,386,5.09179,False,False
-87.207788,405,5.344823,False,False
-88.335725,395,5.605188,False,False
-87.434341,401,8.017392,False,False
-88.963367,404,8.306945,False,False
-87.781052,391,8.615054,False,False
-85.892108,391,8.907462,False,False
-87.867845,392,9.179291,False,False
-35.702102,394,11.843163,False,False
-88.078287,401,12.091903,False,False
-86.521096,416,12.379505,False,False
-89.587075,388,12.640998,False,False
-86.052242,388,12.952293,False,False
-88.464612,389,15.60407,False,False
-88.271361,394,15.886377,False,False
-89.712268,392,16.208316,False,False
-88.778715,395,16.652405,False,False
-90.900323,395,16.94905,False,False
-89.928662,428,19.551601,False,False
-92.095514,386,19.794207,False,False
-86.425002,435,20.079892,False,False
-87.324117,374,20.326191,False,False
-86.87073,387,20.580282,False,False
-40.240765,390,23.159355,False,False
-88.134385,418,23.587347,False,False
-88.170386,405,23.968395,False,False
-92.030542,389,24.23169,False,False
-85.035204,384,24.473588,False,False
-84.45929,413,24.728488,False,False
-83.715938,452,27.354306,False,False
-92.71246,380,27.590186,False,False
-84.270107,384,27.845543,False,False
-91.182901,393,28.097051,False,False
-87.497835,420,28.390109,False,False
-85.783235,446,31.402495,False,False
-42.916791,366,31.695145,False,False
-91.319992,376,32.019611,False,False
-83.612226,386,32.349005,False,False
-88.448027,400,32.725009,False,False
-92.351371,381,35.597294,False,False
-90.236145,387,35.886096,False,False
-90.876996,383,36.170583,False,False
-87.34803,391,36.57859,False,False
-90.313494,395,36.986156,False,False
-86.321567,432,39.662975,False,False
-86.996928,429,39.939288,False,False
-86.690021,435,40.223506,False,False
-92.227973,363,40.457015,False,False
-86.231162,424,40.726808,False,False
-90.938323,373,43.377031,False,False
-91.207066,371,43.626327,False,False
-85.23094,394,43.892782,False,False
-38.998203,357,44.148502,False,False
-89.112606,388,44.49128,False,False
-84.379398,434,47.24943,False,False
-75.331833,469,47.65528,False,False
-86.994778,425,48.006291,False,False
-83.664958,406,48.294979,False,False
-82.414684,406,48.576612,False,False
-79.678438,499,51.420186,False,False
-92.174844,372,51.669886,False,False
-83.191601,501,51.997209,False,False
-90.767643,384,52.244198,False,False
-88.82084,430,52.5493,False,False
-83.457458,399,55.359144,False,False
-92.153171,380,55.658756,False,False
-90.621954,399,55.935628,False,False
-78.274907,533,56.302199,False,False
-82.949976,459,56.668679,False,False
-87.788798,435,59.447363,False,False
-86.635957,491,59.771484,False,False
-90.03744,422,60.039576,False,False
-29.82818,526,60.409527,False,False
-84.785921,453,63.317607,False,False
-30.238779,527,63.693993,False,False
-25.243029,532,64.076279,False,False
-92.848666,366,64.345564,False,False
-31.116071,532,67.316693,False,False
-82.089784,499,67.653446,False,False
-84.923117,436,67.995854,False,False
-88.235627,422,68.379431,False,False
-83.803213,430,68.686398,False,False
-85.239821,499,71.40106,False,False
-88.830064,462,71.733451,False,False
-83.297905,449,72.06734,False,False
-29.700349,525,72.542648,False,False
-27.646943,514,75.243,False,False
-90.798989,415,75.541529,False,False
-86.57543,478,75.884705,False,False
-89.39524,401,76.281334,False,False
-89.298252,460,78.981621,False,False
-91.493361,415,79.251962,False,False
-23.423723,506,79.625027,False,False
-32.314509,506,79.99401,False,False
-92.997465,390,80.296613,False,False
-27.847677,513,83.285675,False,False
-91.850301,406,83.571351,False,False
-23.954548,517,83.92777,False,False
-34.326176,491,84.270563,False,False
-85.813462,484,87.139423,False,False
-90.87234,446,87.462016,False,False
-22.143634,513,87.835687,False,False
-32.619993,502,88.243182,False,False
-38.868344,433,91.069254,False,False
-36.83387,460,91.432951,False,False
-32.876179,493,91.771564,False,False
-23.742161,502,92.121386,False,False
-28.917374,492,92.528745,False,False
-29.859768,486,95.484944,False,False
-20.544895,505,95.863883,False,False
-26.272362,500,96.240831,False,False
-23.413329,501,96.607793,False,False
-22.102691,502,99.882902,False,False
-35.132291,476,100.242394,False,False
-26.884083,491,100.726871,False,False
-27.705824,490,101.13107,False,False
-86.848202,457,104.169153,False,False
-23.11101,498,104.630861,False,False
-21.198376,496,105.131832,False,False
-41.544773,408,105.477859,False,False
-19.503578,506,108.425963,False,False
-21.396491,496,108.892213,False,False
-25.09104,492,109.266321,False,False
-23.059194,495,109.642664,False,False
-23.685506,493,112.50677,False,False
-25.811178,488,112.965331,False,False
-24.354231,489,113.310203,False,False
-19.710852,503,113.656236,False,False
-26.433351,489,113.99082,False,False
-27.142653,481,116.749135,False,False
-25.282435,493,117.09927,False,False
-24.628837,493,117.509033,False,False
-24.889868,490,118.096827,False,False
-20.282868,499,120.81649,False,True
-23.093094,493,121.286873,False,False
-22.395579,502,121.676691,False,False
-24.33284,492,122.008351,False,False
-21.379084,496,124.958246,False,True
-22.315525,492,125.319293,False,True
-23.195154,494,125.670583,False,False
-22.991598,492,126.021619,False,False
-23.26738,489,128.999027,False,False
-22.210397,490,129.457139,False,True
-21.604475,493,129.807015,False,True
-22.62554,489,130.120243,False,False
-21.813279,492,132.926985,False,True
-19.820684,495,133.389879,False,True
-21.652438,493,133.781995,False,True
-20.369276,496,134.11937,False,True
-21.881088,495,136.896348,False,True
-20.560009,493,137.339954,False,True
-21.766873,492,137.780989,False,True
-21.418324,493,138.124998,False,True
-20.471097,494,138.52202,False,True
-20.851381,492,141.418546,False,True
-20.970248,493,141.817588,False,True
-20.660928,493,142.15141,False,True
-20.836186,492,142.505272,False,True
-20.597604,492,145.31476,False,True
-20.589895,492,145.919587,False,True
-20.001732,493,146.344982,False,True
