#{"t_start": 1764787575.2858071, "env_id": "None"}
r,l,t,success
-35.425666,310,0.877125,False
-35.993108,261,1.037932,False
-38.898485,276,1.203445,False
-35.154923,256,1.360261,False
-39.472146,260,1.512186,False
-39.257878,307,1.694394,False
-31.328628,346,1.906301,False
-30.027257,336,4.139775,False
-38.341993,340,4.345028,False
-38.910654,287,4.516178,False
-37.269251,242,4.665496,False
-41.502207,250,4.811234,False
-36.989647,256,4.966987,False
-35.938798,279,5.133903,False
-37.244522,303,7.360721,False
-40.353751,292,7.541031,False
-39.672306,301,7.714867,False
-39.560492,254,7.858114,False
-33.395097,306,8.028798,False
-35.125417,267,8.189161,False
-38.802717,327,8.386212,False
-34.793859,251,10.43745,False
-39.288272,254,10.591719,False
-40.402865,268,10.746418,False
-37.744196,251,10.900983,False
-33.070866,360,11.118114,False
-39.793121,253,11.271004,False
-36.36601,240,11.414616,False
-34.149032,302,13.526407,False
-38.012375,256,13.682656,False
-32.65249,381,13.909502,False
-39.403443,276,14.075113,False
-39.697914,273,14.238691,False
-28.647416,283,14.418384,False
-40.613904,269,14.582984,False
-27.644064,329,16.694313,False
-39.592467,245,16.840906,False
-28.511198,284,17.012746,False
-35.017834,305,17.199619,False
-33.306924,377,17.421969,False
-35.488586,323,17.618715,False
-39.508066,251,17.767775,False
-36.421125,309,19.867697,False
-43.040356,256,20.067355,False
-39.961706,273,20.237908,False
-41.213872,267,20.40758,False
-36.776451,302,20.595426,False
-37.750004,272,20.758838,False
-37.463801,274,20.925399,False
-24.572085,393,23.096209,False
-39.301952,257,23.254038,False
-38.895725,279,23.421139,False
-43.670697,250,23.57367,False
-39.095015,275,23.738847,False
-42.716508,274,23.899188,False
-36.565228,312,24.088719,False
-40.530741,257,24.24807,False
-44.463187,256,26.31552,False
-44.756791,260,26.475611,False
-36.67945,329,26.68609,False
-35.742379,304,26.87221,False
-42.069967,274,27.042294,False
-41.257975,262,27.193667,False
-45.82302,250,27.334178,False
-40.639985,275,29.417931,False
-40.422131,257,29.573062,False
-38.012373,248,29.721399,False
-30.118974,280,29.888023,False
-31.84801,305,30.070445,False
-35.737145,319,30.266809,False
-33.317827,282,30.428888,False
-29.527117,337,32.566076,False
-29.308015,308,32.750546,False
-36.597201,302,32.943591,False
-27.085662,312,33.133478,False
-38.976983,260,33.286954,False
-34.909792,274,33.454155,False
-29.449994,297,33.635917,False
-35.203288,281,35.811594,False
-34.689813,281,36.026995,False
-35.045899,262,36.253924,False
-37.4283,271,36.484086,False
-30.779787,285,36.676293,False
-38.731367,257,36.830791,False
-35.625159,306,37.033792,False
-40.327584,249,37.193775,False
-34.562218,270,39.405919,False
-33.544408,282,39.573085,False
-30.240474,296,39.750639,False
-37.438363,277,39.915075,False
-32.974337,259,40.066952,False
-27.466959,297,40.237775,False
-34.005935,268,40.393493,False
-22.29718,303,42.481286,False
-22.486305,306,42.665943,False
-30.531354,269,42.838407,False
-25.590031,297,43.012936,False
-22.015847,321,43.246514,False
-39.404515,248,43.392548,False
-30.581682,269,43.560499,False
-26.459493,306,45.584002,False
-25.804976,276,45.743735,False
-25.678766,288,45.904803,False
-15.775967,304,46.078293,False
-22.653993,286,46.237571,False
-18.144394,301,46.407781,False
-14.992363,297,46.577183,False
-27.972207,281,48.56698,False
-16.810691,306,48.751227,False
-16.183932,299,48.923086,False
-18.093282,293,49.090085,False
-18.847626,293,49.255866,False
-18.318455,310,49.440133,False
-29.206199,271,49.596353,False
-20.307961,287,51.596227,False
-13.904737,302,51.76776,False
-27.415346,276,51.922135,False
-24.559496,282,52.081816,False
-22.60363,275,52.267166,False
-11.63079,304,52.462236,False
-26.781695,274,52.619427,False
-18.928157,296,54.699007,False
-14.238809,299,54.913245,False
-8.412185,304,55.102444,False
-11.664766,295,55.281235,False
-9.832471,298,55.455053,False
-20.770738,285,55.634817,False
-12.188847,299,55.815092,False
-16.856996,303,58.079002,False
-3.147051,303,58.286694,False
-14.108093,293,58.465878,False
-15.082081,294,58.636178,False
-16.283618,294,58.805492,False
-11.546525,304,59.008304,False
-18.415344,295,59.204842,False
-3.425137,308,61.385422,False
-21.061766,284,61.564575,False
-11.036983,303,61.764088,False
-14.78951,295,61.949927,False
-9.531484,299,62.139683,False
-10.439016,303,62.332101,False
-17.132967,295,62.519966,False
-15.709959,292,64.740869,False
-6.269907,305,64.933665,False
-18.754763,284,65.11295,False
-5.521775,310,65.33233,False
-8.628499,300,65.578272,False
-10.824489,297,65.907779,False
-17.833139,289,66.149906,False
-7.266922,308,68.638684,False
-8.808843,297,68.859098,False
-0.39088,308,69.081852,False
-0.095757,305,69.291756,False
-9.210186,300,69.488658,False
-2.991339,304,69.761171,False
-9.127746,296,69.983181,False
-3.48913,306,72.422285,False
-15.012895,291,72.624865,False
-0.639854,305,72.942713,False
-17.470654,281,73.191935,False
-1.166275,305,73.42902,False
1.110969,309,73.630728,False
-10.761913,304,75.943347,False
-6.157316,304,76.14463,False
-6.08328,307,76.345239,False
-6.662815,297,76.534664,False
-3.889194,303,76.74186,False
-4.961121,301,76.947128,False
-0.700713,305,77.155405,False
-13.37756,291,79.467181,False
-2.823788,305,79.78173,False
-2.85683,303,80.056403,False
-9.945408,300,80.26504,False
-2.959324,306,80.465191,False
-9.680562,301,80.658427,False
2.370562,306,80.855711,False
4.413562,309,83.031158,False
2.201838,305,83.231701,False
-0.059546,307,83.435211,False
-1.130691,303,83.626981,False
-11.883429,287,83.808645,False
1.159151,307,84.001505,False
3.252433,307,84.193967,False
1.116485,307,86.388089,False
7.19914,309,86.59953,False
9.098552,309,86.810188,False
6.125249,307,87.018312,False
-12.060679,290,87.230594,False
