#{"t_start": 1764912182.8098502, "env_id": "None"}
r,l,t,success,semi_success
-24.204696,274,0.920732,False,True
-23.956353,274,1.1121,False,False
-26.936681,312,1.328714,False,True
-22.899121,261,1.510239,False,False
-23.550033,285,1.708917,False,True
-30.66872,329,1.953615,False,True
-21.281076,249,2.136629,False,False
-24.589683,287,2.347351,False,True
-32.088588,388,2.625036,False,False
-23.029349,278,2.841472,False,False
-23.494984,279,3.059478,False,False
-27.406875,304,3.286099,False,True
-19.753397,251,3.468642,False,False
-19.794102,251,3.650528,False,False
-24.840985,276,9.376115,False,False
-22.246486,274,9.593805,False,False
-24.246377,277,9.817436,False,False
-19.114683,242,10.000676,False,False
-29.970894,318,10.248997,False,True
-32.409234,335,10.547793,False,True
-22.253303,277,10.773301,False,False
-37.432082,400,11.194935,False,False
-28.097969,319,11.599901,False,True
-23.467944,267,11.939998,False,False
-19.958604,258,12.27113,False,False
-20.595585,298,12.519791,False,True
-30.238133,354,12.818842,False,True
-20.08076,249,13.039905,False,False
-20.424641,264,18.896612,False,False
-23.948004,276,19.193662,False,False
-28.621478,318,19.473323,False,True
-25.787253,298,19.698336,False,True
-18.56253,257,19.932341,False,False
-19.575277,250,20.141373,False,False
-22.381545,272,20.360322,False,False
-26.979265,309,20.629206,False,True
-20.047938,262,20.887253,False,False
-21.72701,274,21.154515,False,False
-21.646282,285,21.416853,False,False
-24.13247,289,21.638791,False,False
-20.9443,269,21.841417,False,False
-27.434085,317,22.089422,False,True
-20.16862,254,27.484256,False,False
-25.011734,300,27.749505,False,True
-19.869658,269,27.95354,False,False
-19.012704,263,28.154517,False,False
-17.377809,265,28.394356,False,False
-25.230885,320,28.720319,False,True
-20.185611,281,28.963232,False,False
-21.271012,282,29.180428,False,False
-24.064669,299,29.420568,False,True
-21.079088,272,29.661608,False,False
-20.085533,259,29.920681,False,False
-30.986498,408,30.294445,False,False
-23.517785,314,30.540038,False,True
-22.590845,295,30.757966,False,False
-19.722167,279,36.356336,False,False
-19.085443,284,36.580708,False,False
-17.89956,290,36.797347,False,False
-19.400457,295,37.013049,False,False
-22.358742,322,37.253557,False,False
-19.507595,289,37.464613,False,False
-23.087894,306,37.70351,False,False
-19.623138,291,37.962501,False,False
-18.162864,267,38.246623,False,False
-18.024963,278,38.486317,False,False
-18.284583,253,38.706691,False,False
-17.916612,271,38.915484,False,False
-19.569919,301,39.138833,False,False
-17.41963,273,39.334736,False,False
-19.383171,278,39.550693,False,False
-18.57405,320,45.187611,False,False
-17.36685,292,45.422517,False,False
-17.814386,307,45.671497,False,False
-18.135439,286,46.060532,False,False
-18.387168,298,46.340661,False,False
-16.713186,287,46.562237,False,False
-17.789193,275,46.769264,False,False
-18.569191,281,46.974555,False,False
-18.296469,291,47.192089,False,False
-16.447444,276,47.39436,False,False
-18.670985,296,47.622628,False,False
-17.713556,278,47.85534,False,False
-22.090283,307,48.152506,False,False
-18.591366,291,48.429343,False,False
-14.309353,287,53.564518,False,False
-14.80427,281,53.861724,False,False
-15.914272,295,54.151313,False,False
-15.170716,296,54.410856,False,False
-15.825983,296,54.631771,False,False
-14.607338,293,54.855277,False,False
-14.686611,286,55.117262,False,False
-16.999697,292,55.396419,False,False
-14.752883,291,55.697055,False,False
-14.800526,290,55.967206,False,False
-15.272993,297,56.195992,False,False
-18.311099,306,56.447249,False,False
-16.843069,297,56.691443,False,False
-17.243647,303,56.939875,False,False
-14.71642,297,62.345476,False,False
-13.868618,291,62.560104,False,False
-15.340089,298,62.785565,False,False
-12.952167,296,63.026937,False,False
-13.702816,304,63.333539,False,False
-13.70491,306,63.593013,False,False
-13.306836,290,63.8051,False,False
-13.624364,291,64.019711,False,False
-13.158817,297,64.228197,False,False
-15.320686,305,64.462791,False,False
-13.0951,306,64.725939,False,False
-14.860006,297,65.024334,False,False
-13.909979,290,65.293696,False,False
-14.172223,297,70.800056,False,False
-12.069996,305,71.107923,False,False
-11.918827,304,71.348606,False,False
-12.94033,296,71.591083,False,False
-12.003289,305,71.890205,False,False
-10.563928,308,72.177243,False,False
