#{"t_start": 1764693123.689941, "env_id": "None"}
r,l,t
-260.112078,517,0.907766
-274.600872,496,1.066325
-238.800851,464,1.212278
-253.706612,487,1.365591
-244.88356,518,2.412861
-235.959063,505,2.571579
-250.250174,525,2.736338
-236.924715,476,2.882772
-249.599022,489,3.867222
-222.604245,482,4.021962
-235.913038,458,4.175587
-242.389218,517,4.364281
-233.542237,559,5.41839
-246.807417,448,5.563656
-279.896063,598,5.749978
-405.188925,831,6.872855
-192.932886,518,7.062989
-400.046182,818,7.376026
-274.480591,842,8.548463
-234.798997,509,8.708771
-387.277036,994,9.027939
-236.853147,669,10.260726
-230.466055,527,10.433254
-124.100775,688,10.658701
-171.132141,625,11.798737
-279.191018,622,11.991236
-194.275736,691,12.213644
-269.358742,566,13.250468
-118.365217,655,13.46075
-164.645724,778,13.739032
-175.170383,942,15.022949
-214.307465,509,15.181486
-243.645329,517,15.337433
-342.790923,1124,16.51983
-180.832614,677,16.722527
-229.04048,639,16.910876
-327.910287,1176,18.075054
-64.174757,763,18.310328
-243.273732,1040,19.42089
-34.998175,841,19.677016
-260.442424,958,20.773329
-192.694364,929,21.063207
-280.380798,1442,22.32415
-259.485571,1381,23.658509
-27.461201,1506,24.15168
-111.934057,1159,25.346229
-77.709182,1926,26.689659
35.188265,1051,27.045414
26.721229,1056,28.108739
117.319545,1165,28.477982
395.216932,2000,29.869192
231.656604,1587,31.111536
365.795419,2000,32.585168
357.661924,1953,34.095885
579.624548,2000,35.611698
546.006777,2000,41.902983
835.047163,2000,43.401986
849.893045,2000,44.858832
915.524705,2000,46.357598
944.602766,2000,47.873697
954.083487,2000,49.374663
958.060869,2000,50.870244
961.853584,2000,52.67512
975.904358,2000,54.180247
964.745407,2000,55.631768
987.129987,2000,57.015865
973.789082,2000,58.436452
985.553865,2000,59.821202
991.207553,2000,61.205034
991.438034,2000,62.567113
982.860184,2000,63.927354
974.851536,2000,65.32863
987.805108,2000,66.944571
984.182266,2000,68.521588
991.658892,2000,69.969571
998.557593,2000,71.363457
996.367372,2000,72.843787
963.918664,2000,74.157574
972.888052,2000,74.757115
994.99461,2000,76.166533
997.476882,2000,97.419062
994.257761,2000,98.980048
998.118973,2000,100.527237
994.043709,2000,102.043772
992.658209,2000,103.582101
995.186864,2000,105.098537
998.569711,2000,106.630629
993.446862,2000,108.279387
994.470768,2000,109.833721
989.537739,2000,111.486644
999.534196,2000,113.118753
998.598307,2000,114.664632
989.02639,2000,116.320839
999.140072,2000,117.864418
991.029846,2000,119.384302
998.986199,2000,120.979692
999.09273,2000,122.684188
998.55687,2000,124.279056
993.625578,2000,126.014106
999.737497,2000,127.559016
998.161174,2000,129.048287
984.208944,2000,130.617353
998.715359,2000,132.141926
996.941963,2000,133.611141
998.562744,2000,135.021765
993.098499,2000,141.06502
992.895517,2000,142.679735
991.168526,2000,144.184509
998.124759,2000,145.704113
990.207603,2000,147.234142
984.531614,2000,148.820266
990.572889,2000,150.333953
985.042597,2000,151.912048
995.104152,2000,153.372837
993.029787,2000,154.799842
990.447834,2000,156.244631
987.021812,2000,157.819226
986.833582,2000,159.412364
989.789365,2000,160.972569
995.402947,2000,162.522927
989.676269,2000,163.349966
987.601238,2000,164.996336
984.974414,2000,166.77409
988.193962,2000,168.255008
983.322263,2000,169.792769
991.008044,2000,171.286003
995.458514,2000,172.847666
985.935602,2000,174.376235
995.690296,2000,175.878004
994.169072,2000,177.361877
988.362856,2000,200.984463
981.058183,2000,202.455961
992.498597,2000,204.000125
998.737388,2000,205.768981
994.892963,2000,207.434951
996.928987,2000,209.008288
997.933761,2000,210.629166
988.122933,2000,212.365954
984.501161,2000,214.051516
994.174451,2000,215.663337
992.232003,2000,217.44446
986.952077,2000,219.072263
998.307594,2000,220.679306
996.007599,2000,222.301099
979.034784,2000,223.961901
987.129075,2000,225.580679
989.994568,2000,227.191355
999.085471,2000,228.764513
996.590316,2000,230.467166
988.664255,2000,232.039819
993.692059,2000,233.527669
988.581708,2000,235.073012
992.732346,2000,236.593981
991.908129,2000,238.082709
988.645854,2000,239.594769
996.489683,2000,245.734223
996.451213,2000,247.364982
999.37808,2000,248.911963
997.006964,2000,250.512969
997.550878,2000,252.215822
999.575849,2000,253.653567
994.575127,2000,255.058626
996.351217,2000,256.565237
998.582648,2000,257.177869
998.262996,2000,258.707248
997.272282,2000,260.143675
997.317797,2000,261.57371
994.578313,2000,263.080212
987.286788,2000,264.499955
994.101101,2000,265.888209
990.494634,2000,267.269652
974.26208,2000,268.680367
998.889697,2000,270.125778
999.08981,2000,271.522994
989.447793,2000,272.892623
994.789132,2000,274.287441
992.004527,2000,275.828828
963.56326,2000,277.308902
992.440199,2000,278.715423
988.881116,2000,280.116241
