#{"t_start": 1764906282.256586, "env_id": "None"}
r,l,t,success,semi_success
-40.833696,351,5.215611,False,False
-92.787303,295,8.923437,False,False
-39.530721,342,12.983194,False,False
-35.709187,336,16.88821,False,False
-91.932368,297,21.150984,False,False
-41.246793,333,26.107513,False,False
-89.962963,331,30.383905,False,False
-40.045522,349,35.377653,False,False
-39.245243,336,39.497996,False,False
-41.147105,342,44.360374,False,False
-91.355449,304,49.318944,False,False
-40.705019,341,53.564896,False,False
-92.698255,302,57.473906,False,False
-92.209549,296,61.349306,False,False
-37.241807,337,65.424902,False,False
-92.90359,295,70.442394,False,False
-41.058613,342,74.599044,False,False
-39.424663,340,78.681449,False,False
-93.500918,282,82.488773,False,False
-90.036577,299,85.843043,False,False
-90.123758,321,90.480268,False,False
-91.233229,305,94.792925,False,False
-41.35211,345,99.00911,False,False
-92.098762,298,103.542625,False,False
-40.314295,345,108.470096,False,False
-90.058989,290,113.325549,False,False
-40.338316,354,119.703856,False,False
-40.562915,351,123.904784,False,False
-91.062473,315,128.042575,False,False
-41.393815,339,132.235682,False,False
-92.831003,300,137.31879,False,False
-90.323405,310,141.666724,False,False
-90.344664,316,146.108469,False,False
-40.387603,352,150.382496,False,False
-37.126646,364,155.318857,False,False
-35.407115,357,160.217279,False,False
-90.153707,314,164.454293,False,False
-39.260579,354,169.052836,False,False
-38.654187,356,173.634111,False,False
-91.737105,308,177.660474,False,False
-90.641007,309,182.281002,False,False
-38.911536,360,187.545786,False,False
-90.758039,297,191.028013,False,False
-89.538469,304,194.986073,False,False
-39.861014,351,199.963831,False,False
-90.144564,349,204.846518,False,False
-90.635844,312,209.22577,False,False
-89.216461,311,213.224096,False,False
-90.370433,322,217.169615,False,False
-86.268269,341,221.412554,False,False
-89.008784,347,226.69473,False,False
-89.228461,326,231.33672,False,False
-88.445177,336,235.656168,False,False
-89.220416,330,239.789445,False,False
-87.825269,367,244.772994,False,False
-86.816886,366,250.868348,False,False
-85.663714,381,256.34844,False,False
-86.585826,352,260.486685,False,False
-86.047904,331,265.097594,False,False
-86.895395,345,271.210447,False,False
-85.757047,345,276.657792,False,False
-87.158953,345,281.470141,False,False
-85.263353,351,287.484105,False,False
35.919602,344,291.771284,False,True
-83.395751,373,297.964268,False,False
-84.462478,346,302.004469,False,False
35.880551,345,306.552667,False,True
-84.56195,343,310.799893,False,False
-84.868186,348,317.357839,False,False
-84.62662,344,323.310463,False,False
-84.30146,345,328.121441,False,False
-84.078443,344,334.208828,False,False
36.325061,344,339.326814,False,True
-84.331233,349,346.342712,False,False
-84.892941,343,352.124144,False,False
-84.985782,343,358.053927,False,False
-85.264379,341,364.556652,False,False
36.629313,345,370.4757,False,True
36.15692,345,377.770447,False,True
-84.286673,344,384.631326,False,False
-86.426085,340,389.903208,False,False
36.137306,344,394.889746,False,True
-88.764885,339,401.862528,False,False
36.387761,345,407.000818,False,True
-84.125928,345,412.931005,False,False
-84.02801,345,417.869937,False,False
-85.131275,345,422.968821,False,False
-84.993588,344,429.515973,False,False
-84.208268,345,434.601351,False,False
-86.604575,345,440.399354,False,False
-86.081353,344,445.443255,False,False
36.366177,345,451.370713,False,True
-85.411871,344,457.45087,False,False
-84.623146,345,462.048973,False,False
-84.827421,345,467.167089,False,False
-85.134355,346,473.53245,False,False
-86.853153,346,479.285657,False,False
-86.252124,344,485.012869,False,False
-85.557708,346,489.954719,False,False
-84.117207,344,494.812147,False,False
36.282817,345,501.919315,False,True
37.008353,345,507.040606,False,True
-84.50545,346,512.982258,False,False
-83.897082,346,518.023548,False,False
-84.655763,343,523.124927,False,False
-85.417055,344,529.854945,False,False
-85.121353,346,534.617322,False,False
-83.947789,345,540.643254,False,False
-85.771736,343,545.658788,False,False
-85.650266,341,551.790696,False,False
35.702763,344,557.727516,False,True
36.50614,345,562.81256,False,True
-83.836064,344,567.990923,False,False
36.437423,344,574.423373,False,True
36.672928,345,580.464932,False,True
36.974286,345,586.364898,False,True
-86.094112,345,591.203592,False,False
37.023096,345,596.408714,False,True
36.722398,345,604.604171,False,True
36.817778,344,610.156472,False,True
-84.488964,345,615.364071,False,False
36.460164,344,621.398222,False,True
36.647634,345,627.18268,False,True
-83.842088,343,633.536423,False,False
-84.131449,346,638.699648,False,False
36.23322,345,644.012737,False,True
-83.768644,344,650.442618,False,False
36.597747,345,656.56146,False,True
36.676053,344,662.818941,False,True
36.975431,345,668.169169,False,True
-83.833923,344,673.110366,False,False
-84.186199,344,680.148059,False,False
36.969817,345,685.383902,False,True
-84.213668,345,690.255081,False,False
37.028664,345,696.444057,False,True
36.916264,345,701.576872,False,True
36.75168,345,708.197016,False,True
36.956114,345,713.243242,False,True
36.758449,345,718.284696,False,True
36.941417,345,724.320209,False,True
-84.653057,345,730.381021,False,False
36.828353,345,736.281809,False,True
36.801714,345,740.826473,False,True
37.027122,345,745.442176,False,True
37.09783,345,751.054144,False,True
36.704235,345,756.357015,False,True
36.125061,345,761.810297,False,True
36.662157,345,766.412953,False,True
-83.718364,345,771.453374,False,False
36.349558,345,777.940561,False,True
36.775225,345,783.185178,False,True
36.993578,345,787.937998,False,True
37.065736,345,793.665525,False,True
36.991868,345,798.877141,False,True
37.014701,345,805.701734,False,True
36.617322,345,810.280862,False,True
36.969627,345,814.830452,False,True
36.816889,345,820.089499,False,True
36.789098,345,824.826885,False,True
36.580037,345,831.200462,False,True
36.777676,345,836.198323,False,True
37.091207,345,841.274713,False,True
37.042949,345,847.513057,False,True
37.032132,345,853.462,False,True
36.742541,345,859.575517,False,True
36.896097,345,864.131715,False,True
36.940588,345,869.156054,False,True
36.938197,345,875.89963,False,True
35.911794,345,881.599643,False,True
36.971804,345,886.397261,False,True
36.428574,345,891.916708,False,True
36.82106,345,897.171984,False,True
36.412427,345,904.42954,False,True
36.713644,345,909.71181,False,True
36.533706,345,915.480221,False,True
36.815654,345,921.276654,False,True
36.663105,345,927.368149,False,True
36.668102,345,933.69117,False,True
36.561564,345,939.090297,False,True
36.634972,345,944.01657,False,True
36.70471,345,950.220479,False,True
36.538841,345,956.376007,False,True
36.627066,345,962.323521,False,True
36.919828,345,966.970989,False,True
36.737821,345,972.698617,False,True
36.696556,345,979.833915,False,True
36.527952,345,985.115617,False,True
36.777029,345,990.965137,False,True
36.740065,345,995.689905,False,True
36.589376,345,1000.90259,False,True
36.847977,345,1007.829151,False,True
36.837144,345,1012.766179,False,True
36.879008,345,1018.079013,False,True
36.840447,345,1024.386793,False,True
36.659857,345,1030.5381,False,True
36.485982,345,1036.578176,False,True
36.738439,345,1042.086806,False,True
36.699981,345,1047.524986,False,True
36.952737,345,1054.874085,False,True
36.819156,345,1061.097364,False,True
36.96244,345,1067.613248,False,True
36.745162,345,1072.552429,False,True
36.721807,345,1077.945528,False,True
36.824057,345,1085.391049,False,True
36.960396,345,1091.997087,False,True
36.829624,345,1099.230829,False,True
-87.329998,345,1105.086706,False,False
36.960586,345,1110.863369,False,True
36.730017,345,1116.453772,False,True
36.935666,345,1121.270789,False,True
36.568971,345,1126.665381,False,True
36.826369,345,1131.807685,False,True
36.784787,345,1137.23002,False,True
36.871818,345,1142.881691,False,True
36.943547,345,1147.616196,False,True
36.919952,345,1152.949126,False,True
36.686049,345,1160.046973,False,True
36.759053,345,1164.831213,False,True
36.969196,345,1171.42958,False,True
36.875339,345,1176.730107,False,True
36.832971,345,1182.477417,False,True
36.799426,345,1189.842464,False,True
36.986718,345,1195.265342,False,True
36.826279,345,1201.558458,False,True
37.043781,345,1206.786638,False,True
36.744097,345,1212.859309,False,True
36.693323,345,1218.908466,False,True
36.825474,345,1224.190075,False,True
36.745958,345,1230.44103,False,True
36.873586,345,1236.211605,False,True
37.033323,345,1241.237344,False,True
36.982953,345,1247.014657,False,True
36.938015,345,1251.679225,False,True
36.875262,345,1257.320161,False,True
36.631306,345,1264.708198,False,True
37.011914,346,1269.736655,False,True
36.885137,345,1276.019052,False,True
36.919436,345,1281.190538,False,True
36.975082,345,1287.45487,False,True
36.258305,345,1293.13147,False,True
36.874967,345,1297.929061,False,True
